haMcixanu haMcu(V23)+ixa_u_PAST+anu_a_3SM   
haMcuvuxaroVMxigeVyU haMcu(V23)+vuxu_#_SOC+xaroVMxigeVyU_xu_INCL
haMcuvuxaroVMxigeVyo haMcu(V23)+vuxu_#_SOC+xaroVMxigeVyo_xu_DUB
haMcuvuxaroVMxigeVyo haMcu(V23)+vuxu_#_SOC+xaroVMxigeVyo_xu_INDF
haMcuvuxaroVMxigeVyo haMcu(V23)+vuxu_#_SOC+xaroVMxigeVyo_xu_PRES
haMcuvuxaroVMxigeVye haMcu(V23)+vuxu_#_SOC+xaroVMxigeVye_xu_IMPH
haMcuvuxaroVMxigeVye haMcu(V23)+vuxu_#_SOC+xaroVMxigeVye_xu_DECL
haMcuvuxaroVMxigeVye haMcu(V23)+vuxu_#_SOC+xaroVMxigeVye_xu_RIS
haMcuvuxaroVdaneVyA haMcu(V23)+vuxu_#_SOC+xaroVdaneVyA_xu_INTR
haMcuvuxaroVdaneVyU haMcu(V23)+vuxu_#_SOC+xaroVdaneVyU_xu_INCL
haMcuvuxaroVdaneVyo haMcu(V23)+vuxu_#_SOC+xaroVdaneVyo_xu_DUB
haMcuvuxaroVdaneVyo haMcu(V23)+vuxu_#_SOC+xaroVdaneVyo_xu_INDF
haMcuvuxaroVdaneVyo haMcu(V23)+vuxu_#_SOC+xaroVdaneVyo_xu_PRES
haMcuvuxaroVdaneVye haMcu(V23)+vuxu_#_SOC+xaroVdaneVye_xu_IMPH
haMcuvuxaroVdaneVye haMcu(V23)+vuxu_#_SOC+xaroVdaneVye_xu_DECL
haMcuvuxaroVdaneVye haMcu(V23)+vuxu_#_SOC+xaroVdaneVye_xu_RIS


haMcixavanannu haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannu_nu_3SM
haMcixavanannA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannA_nu_INTR
haMcixavanannU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannU_nu_INCL
haMcixavananno haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_DUB
haMcixavananno haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_INDF
haMcixavananno haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_PRES
haMcixavananne haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_IMPH
haMcixavananne haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_DECL
haMcixavananne haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_RIS
haMcixavaniMxa haMcu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxa_nu_3SM
haMcixavaniMxalA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalA_nu_INTR
haMcixavaniMxalU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalU_nu_INCL
haMcixavaniMxalo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_DUB
haMcixavaniMxalo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_INDF
haMcixavaniMxalo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_PRES
haMcixavaniMxale haMcu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_IMPH
haMcixavaniMxale haMcu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_DECL
haMcixavaniMxale haMcu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_RIS
haMcixavanalligeV haMcu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeV_nu_3SM
haMcixavanalligeVyA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyA_nu_INTR
haMcixavanalligeVyU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyU_nu_INCL
haMcixavanalligeVyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_DUB
haMcixavanalligeVyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_INDF
haMcixavanalligeVyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_PRES
haMcixavanalligeVye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_IMPH
haMcixavanalligeVye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_DECL
haMcixavanalligeVye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_RIS
haMcixavaniMxa  haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxa_nu_3SM
haMcixavaniMxalA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalA_nu_INTR
haMcixavaniMxalU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalU_nu_INCL
haMcixavaniMxalo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_DUB
haMcixavaniMxalo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_INDF
haMcixavaniMxalo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_PRES
haMcixavaniMxale haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_IMPH
haMcixavaniMxale haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_DECL
haMcixavaniMxale haMcu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_RIS
haMcixavana haMcu(V4)+ixa_u_PRP+ixavanu_ixa_GEN+na_nu_3SM
haMcixavanalli haMcu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalli_nu_3SM
haMcixavanalliyA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyA_nu_INTR
haMcixavanalliyU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyU_nu_INCL
haMcixavanalliyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_DUB
haMcixavanalliyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_INDF
haMcixavanalliyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_PRES
haMcixavanalliye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_IMPH
haMcixavanalliye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_DECL
haMcixavanalliye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_RIS
haMcixavanigoskara haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskara_nu_3SM
haMcixavanigoskaravA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravA_nu_INTR
haMcixavanigoskaravU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravU_nu_INCL
haMcixavanigoskaravo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_DUB
haMcixavanigoskaravo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_INDF
haMcixavanigoskaravo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_PRES
haMcixavanigoskarave haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_IMPH
haMcixavanigoskarave haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_DECL
haMcixavanigoskarave haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_RIS
haMcixavanigoskara haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskara_nu_3SM
haMcixavanigoskaravA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravA_nu_INTR
haMcixavanigoskaravU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravU_nu_INCL
haMcixavanigoskaravo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_DUB
haMcixavanigoskaravo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_INDF
haMcixavanigoskaravo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_PRES
haMcixavanigoskarave haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_IMPH
haMcixavanigoskarave haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_DECL
haMcixavanigoskarave haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_RIS
haMcixavanigAgi haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgi_nu_3SM
haMcixavanigAgiyA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyA_nu_INTR
haMcixavanigAgiyU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyU_nu_INCL
haMcixavanigAgiyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_DUB
haMcixavanigAgiyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_INDF
haMcixavanigAgiyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_PRES
haMcixavanigAgiye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_IMPH
haMcixavanigAgiye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_DECL
haMcixavanigAgiye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_RIS
haMcixavanigAgi haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgi_nu_3SM
haMcixavanigAgiyA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyA_nu_INTR
haMcixavanigAgiyU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyU_nu_INCL
haMcixavanigAgiyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_DUB
haMcixavanigAgiyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_INDF
haMcixavanigAgiyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_PRES
haMcixavanigAgiye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_IMPH
haMcixavanigAgiye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_DECL
haMcixavanigAgiye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_RIS
haMcixavanigosuga haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosuga_nu_3SM
haMcixavanigosugavA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavA_nu_INTR
haMcixavanigosugavU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavU_nu_INCL
haMcixavanigosugavo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_DUB
haMcixavanigosugavo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_INDF
haMcixavanigosugavo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_PRES
haMcixavanigosugave haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_IMPH
haMcixavanigosugave haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_DECL
haMcixavanigosugave haMcu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_RIS
haMcixavanigosuga haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosuga_nu_3SM
haMcixavanigosugavA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavA_nu_INTR
haMcixavanigosugavU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavU_nu_INCL
haMcixavanigosugavo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_DUB
haMcixavanigosugavo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_INDF
haMcixavanigosugavo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_PRES
haMcixavanigosugave haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_IMPH
haMcixavanigosugave haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_DECL
haMcixavanigosugave haMcu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_RIS
haMcixavanigiMwa haMcu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwa_nu_3SM
haMcixavanigiMwalA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalA_nu_INTR
haMcixavanigiMwalU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalU_nu_INCL
haMcixavanigiMwalo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_DUB
haMcixavanigiMwalo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_INDF
haMcixavanigiMwalo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_PRES
haMcixavanigiMwale haMcu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_IMPH
haMcixavanigiMwale haMcu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_DECL
haMcixavanigiMwale haMcu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_RIS
haMcixavanaxeV haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeV_nu_3SM
haMcixavanaxeVyA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyA_nu_INTR
haMcixavanaxeVyU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyU_nu_DUB
haMcixavanaxeVyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyo_nu_INDF
haMcixavanaxeVyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyo_nu_PRES
haMcixavanaxeVye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_IMPH
haMcixavanaxeVye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_DECL
haMcixavanaxeVye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_RIS
haMcixavanoVdaneV haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneV_nu_3SM
haMcixavanoVdaneVyA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyA_nu_INTR
haMcixavanoVdaneVyU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyU_nu_INCL
haMcixavanoVdaneVyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_DUB
haMcixavanoVdaneVyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_INDF
haMcixavanoVdaneVyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_PRES
haMcixavanoVdaneVye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_IMPH
haMcixavanoVdaneVye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_DECL
haMcixavanoVdaneVye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_RIS
haMcixavanoVMxigeV haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeV_nu_3SM
haMcixavanoVMxigeVyA haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyA_nu_INTR
haMcixavanoVMxigeVyU haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyU_nu_INCL
haMcixavanoVMxigeVyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_DUB
haMcixavanoVMxigeVyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_INDF
haMcixavanoVMxigeVyo haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_PRES
haMcixavanoVMxigeVye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_IMPH
haMcixavanoVMxigeVye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_DECL
haMcixavanoVMxigeVye haMcu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_RIS
haMcixavalYannu haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannu_lYu_3SF
haMcixavalYannA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannA_lYu_INTR
haMcixavalYannU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannU_lYu_INCL
haMcixavalYanno haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_DUB
haMcixavalYanno haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_INDF
haMcixavalYanno haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_PRES
haMcixavalYanne haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_IMPH
haMcixavalYanne haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_DECL
haMcixavalYanne haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_RIS
haMcixavalYiMxa haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxa_lYu_3SF
haMcixavalYiMxalA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalA_lYu_INTR
haMcixavalYiMxalU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalU_lYu_INCL
haMcixavalYiMxalo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_DUB
haMcixavalYiMxalo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_INDF
haMcixavalYiMxalo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_PRES
haMcixavalYiMxale haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxale_lYu_IMPH
haMcixavalYiMxale haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxale_lYu_DECL
haMcixavalYiMxale haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxale_lYu_RIS
haMcixavalYigeV haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeV_lYu_3SF
haMcixavalYigeVyA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyA_lYu_INTR
haMcixavalYigeVyU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyU_lYu_INCL
haMcixavalYigeVyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyo_lYu_DUB
haMcixavalYigeVyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyo_lYu_INDF
haMcixavalYigeVyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyo_lYu_PRES
haMcixavalYigeVye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVye_lYu_IMPH
haMcixavalYigeVye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVye_lYu_DECL
haMcixavalYigeVye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVye_lYu_RIS
haMcixavalYiMxa  haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxa_lYu_3SF
haMcixavalYiMxalA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalA_lYu_INTR
haMcixavalYiMxalU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalU_lYu_INCL
haMcixavalYiMxalo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalo_lYu_DUB
haMcixavalYiMxalo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalo_lYu_INDF
haMcixavalYiMxalo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalo_lYu_PRES
haMcixavalYiMxale haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxale_lYu_IMPH
haMcixavalYiMxale haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxale_lYu_DECL
haMcixavalYiMxale haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxale_lYu_RIS
haMcixavalYa haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_GEN+lYa_lYu_3SF
haMcixavalYalli haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalli_lYu_3SF
haMcixavalYalliyA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyA_lYu_INTR
haMcixavalYalliyU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyU_lYu_INCL
haMcixavalYalliyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyo_lYu_DUB
haMcixavalYalliyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyo_lYu_INDF
haMcixavalYalliyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyo_lYu_PRES
haMcixavalYalliye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliye_lYu_IMPH
haMcixavalYalliye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliye_lYu_DECL
haMcixavalYalliye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliye_lYu_RIS
haMcixavalYigoskara haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskara_lYu_3SF
haMcixavalYigoskaravA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravA_lYu_INTR
haMcixavalYigoskaravU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravU_lYu_INCL
haMcixavalYigoskaravo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravo_lYu_DUB
haMcixavalYigoskaravo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravo_lYu_INDF
haMcixavalYigoskaravo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravo_lYu_PRES
haMcixavalYigoskarave haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskarave_lYu_IMPH
haMcixavalYigoskarave haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskarave_lYu_DECL
haMcixavalYigoskarave haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskarave_lYu_RIS
haMcixavalYigoskara haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskara_lYu_3SF
haMcixavalYigoskaravA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravA_lYu_INTR
haMcixavalYigoskaravU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravU_lYu_INCL
haMcixavalYigoskaravo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravo_lYu_DUB
haMcixavalYigoskaravo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravo_lYu_INDF
haMcixavalYigoskaravo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravo_lYu_PRES
haMcixavalYigoskarave haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskarave_lYu_IMPH
haMcixavalYigoskarave haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskarave_lYu_DECL
haMcixavalYigoskarave haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskarave_lYu_RIS
haMcixavalYigAgi haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgi_lYu_3SF
haMcixavalYigAgiyA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyA_lYu_INTR
haMcixavalYigAgiyU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyU_lYu_INCL
haMcixavalYigAgiyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyo_lYu_DUB
haMcixavalYigAgiyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyo_lYu_INDF
haMcixavalYigAgiyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyo_lYu_PRES
haMcixavalYigAgiye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiye_lYu_IMPH
haMcixavalYigAgiye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiye_lYu_DECL
haMcixavalYigAgiye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiye_lYu_RIS
haMcixavalYigAgi haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgi_lYu_3SF
haMcixavalYigAgiyA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyA_lYu_INTR
haMcixavalYigAgiyU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyU_lYu_INCL
haMcixavalYigAgiyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyo_lYu_DUB
haMcixavalYigAgiyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyo_lYu_INDF
haMcixavalYigAgiyo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyo_lYu_PRES
haMcixavalYigAgiye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiye_lYu_IMPH
haMcixavalYigAgiye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiye_lYu_DECL
haMcixavalYigAgiye haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiye_lYu_RIS
haMcixavalYigosuga haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosuga_lYu_3SF
haMcixavalYigosugavA haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavA_lYu_INTR
haMcixavalYigosugavU haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavU_lYu_INCL
haMcixavalYigosugavo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavo_lYu_DUB
haMcixavalYigosugavo haMcu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavo_lYu_INDF
