appixanu appu(V24)+ixa_u_PAST+anu_a_3SM   
appixavanigoskaravo appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_INDF
appixavanigoskaravo appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_PRES
appixavanigoskarave appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_IMPH
appixavanigoskarave appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_DECL
appixavanigoskarave appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_RIS
appixavanigAgi appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgi_nu_3SM
appixavanigAgiyA appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyA_nu_INTR
appixavanigAgiyU appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyU_nu_INCL
appixavanigAgiyo appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_DUB
appixavanigAgiyo appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_INDF
appixavanigAgiyo appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_PRES
appixavanigAgiye appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_IMPH
appixavanigAgiye appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_DECL
appixavanigAgiye appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_RIS
appixavanigAgi appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgi_nu_3SM
appixavanigAgiyA appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyA_nu_INTR
appixavanigAgiyU appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyU_nu_INCL
appixavanigAgiyo appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_DUB
appixavanigAgiyo appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_INDF
appixavanigAgiyo appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_PRES
appixavanigAgiye appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_IMPH
appixavanigAgiye appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_DECL
appixavanigAgiye appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_RIS
appixavanigosuga appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosuga_nu_3SM
appixavanigosugavA appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavA_nu_INTR
appixavanigosugavU appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavU_nu_INCL
appixavanigosugavo appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_DUB
appixavanigosugavo appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_INDF
appixavanigosugavo appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_PRES
appixavanigosugave appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_IMPH
appixavanigosugave appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_DECL
appixavanigosugave appu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_RIS
appixavanigosuga appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosuga_nu_3SM
appixavanigosugavA appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavA_nu_INTR
appixavanigosugavU appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavU_nu_INCL
appixavanigosugavo appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_DUB
appixavanigosugavo appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_INDF
appixavanigosugavo appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_PRES
appixavanigosugave appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_IMPH
appixavanigosugave appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_DECL
appixavanigosugave appu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_RIS
appixavanigiMwa appu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwa_nu_3SM
appixavanigiMwalA appu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalA_nu_INTR
appixavanigiMwalU appu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalU_nu_INCL
appixavanigiMwalo appu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_DUB
appixavanigiMwalo appu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_INDF
appixavanigiMwalo appu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_PRES
appixavanigiMwale appu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_IMPH
appixavanigiMwale appu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_DECL
appixavanigiMwale appu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_RIS
appixavanaxeV appu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeV_nu_3SM
appixavanaxeVyA appu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyA_nu_INTR
appixavanaxeVyU appu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyU_nu_DUB
appixavanaxeVyo appu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyo_nu_INDF
appixavanaxeVyo appu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyo_nu_PRES
appixavanaxeVye appu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_IMPH
appixavanaxeVye appu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_DECL
appixavanaxeVye appu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_RIS
appixavanoVdaneV appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneV_nu_3SM
appixavanoVdaneVyA appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyA_nu_INTR
appixavanoVdaneVyU appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyU_nu_INCL
appixavanoVdaneVyo appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_DUB
appixavanoVdaneVyo appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_INDF
appixavanoVdaneVyo appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_PRES
appixavanoVdaneVye appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_IMPH
appixavanoVdaneVye appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_DECL
appixavanoVdaneVye appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_RIS
appixavanoVMxigeV appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeV_nu_3SM
appixavanoVMxigeVyA appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyA_nu_INTR
appixavanoVMxigeVyU appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyU_nu_INCL
appixavanoVMxigeVyo appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_DUB
appixavanoVMxigeVyo appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_INDF
appixavanoVMxigeVyo appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_PRES
appixavanoVMxigeVye appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_IMPH
appixavanoVMxigeVye appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_DECL
appixavanoVMxigeVye appu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_RIS
appixavalYannu appu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannu_lYu_3SF
appixavalYannA appu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannA_lYu_INTR
appixavalYannU appu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannU_lYu_INCL
appixavalYanno appu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_DUB
appixavalYanno appu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_INDF
appixavalYanno appu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_PRES
appixavalYanne appu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_IMPH
appixavalYanne appu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_DECL
appixavalYanne appu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_RIS
appixavalYiMxa appu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxa_lYu_3SF
appixavalYiMxalA appu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalA_lYu_INTR
appixavalYiMxalU appu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalU_lYu_INCL
appixavalYiMxalo appu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_DUB
appixavalYiMxalo appu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_INDF
appixavalYiMxalo appu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_PRES
appixavalYiMxale appu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxale_lYu_IMPH
appixavalYiMxale appu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxale_lYu_DECL
appixavalYiMxale appu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxale_lYu_RIS
appixavalYigeV appu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeV_lYu_3SF
appixavalYigeVyA appu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyA_lYu_INTR
appixavalYigeVyU appu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyU_lYu_INCL
appixavalYigeVyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyo_lYu_DUB
appixavalYigeVyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyo_lYu_INDF
appixavalYigeVyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyo_lYu_PRES
appixavalYigeVye appu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVye_lYu_IMPH
appixavalYigeVye appu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVye_lYu_DECL
appixavalYigeVye appu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVye_lYu_RIS
appixavalYiMxa  appu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxa_lYu_3SF
appixavalYiMxalA appu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalA_lYu_INTR
appixavalYiMxalU appu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalU_lYu_INCL
appixavalYiMxalo appu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalo_lYu_DUB
appixavalYiMxalo appu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalo_lYu_INDF
appixavalYiMxalo appu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalo_lYu_PRES
appixavalYiMxale appu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxale_lYu_IMPH
appixavalYiMxale appu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxale_lYu_DECL
appixavalYiMxale appu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxale_lYu_RIS
appixavalYa appu(V4)+ixa_u_PRP+ixavalYu_ixa_GEN+lYa_lYu_3SF
appixavalYalli appu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalli_lYu_3SF
appixavalYalliyA appu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyA_lYu_INTR
appixavalYalliyU appu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyU_lYu_INCL
appixavalYalliyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyo_lYu_DUB
appixavalYalliyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyo_lYu_INDF
appixavalYalliyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyo_lYu_PRES
appixavalYalliye appu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliye_lYu_IMPH
appixavalYalliye appu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliye_lYu_DECL
appixavalYalliye appu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliye_lYu_RIS
appixavalYigoskara appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskara_lYu_3SF
appixavalYigoskaravA appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravA_lYu_INTR
appixavalYigoskaravU appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravU_lYu_INCL
appixavalYigoskaravo appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravo_lYu_DUB
appixavalYigoskaravo appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravo_lYu_INDF
appixavalYigoskaravo appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravo_lYu_PRES
appixavalYigoskarave appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskarave_lYu_IMPH
appixavalYigoskarave appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskarave_lYu_DECL
appixavalYigoskarave appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskarave_lYu_RIS
appixavalYigoskara appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskara_lYu_3SF
appixavalYigoskaravA appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravA_lYu_INTR
appixavalYigoskaravU appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravU_lYu_INCL
appixavalYigoskaravo appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravo_lYu_DUB
appixavalYigoskaravo appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravo_lYu_INDF
appixavalYigoskaravo appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravo_lYu_PRES
appixavalYigoskarave appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskarave_lYu_IMPH
appixavalYigoskarave appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskarave_lYu_DECL
appixavalYigoskarave appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskarave_lYu_RIS
appixavalYigAgi appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgi_lYu_3SF
appixavalYigAgiyA appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyA_lYu_INTR
appixavalYigAgiyU appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyU_lYu_INCL
appixavalYigAgiyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyo_lYu_DUB
appixavalYigAgiyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyo_lYu_INDF
appixavalYigAgiyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyo_lYu_PRES
appixavalYigAgiye appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiye_lYu_IMPH
appixavalYigAgiye appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiye_lYu_DECL
appixavalYigAgiye appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiye_lYu_RIS
appixavalYigAgi appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgi_lYu_3SF
appixavalYigAgiyA appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyA_lYu_INTR
appixavalYigAgiyU appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyU_lYu_INCL
appixavalYigAgiyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyo_lYu_DUB
appixavalYigAgiyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyo_lYu_INDF
appixavalYigAgiyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyo_lYu_PRES
appixavalYigAgiye appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiye_lYu_IMPH
appixavalYigAgiye appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiye_lYu_DECL
appixavalYigAgiye appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiye_lYu_RIS
appixavalYigosuga appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosuga_lYu_3SF
appixavalYigosugavA appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavA_lYu_INTR
appixavalYigosugavU appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavU_lYu_INCL
appixavalYigosugavo appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavo_lYu_DUB
appixavalYigosugavo appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavo_lYu_INDF
appixavalYigosugavo appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavo_lYu_PRES
appixavalYigosugave appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugave_lYu_IMPH
appixavalYigosugave appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugave_lYu_DECL
appixavalYigosugave appu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugave_lYu_RIS
appixavalYigosuga appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosuga_lYu_3SF
appixavalYigosugavA appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavA_lYu_INTR
appixavalYigosugavU appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavU_lYu_INCL
appixavalYigosugavo appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavo_lYu_DUB
appixavalYigosugavo appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavo_lYu_INDF
appixavalYigosugavo appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavo_lYu_PRES
appixavalYigosugave appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugave_lYu_IMPH
appixavalYigosugave appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugave_lYu_DECL
appixavalYigosugave appu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugave_lYu_RIS
appixavalYigiMwa appu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwa_lYu_3SF
appixavalYigiMwalA appu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalA_lYu_INTR
appixavalYigiMwalU appu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalU_lYu_INCL
appixavalYigiMwalo appu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalo_lYu_DUB
appixavalYigiMwalo appu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalo_lYu_INDF
appixavalYigiMwalo appu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalo_lYu_PRES
appixavalYigiMwale appu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwale_lYu_IMPH
appixavalYigiMwale appu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwale_lYu_DECL
appixavalYigiMwale appu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwale_lYu_RIS
appixavalYappixeV appu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYappixeV_lYu_3SF
appixavalYaxeVyA appu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyA_lYu_INTR
appixavalYaxeVyU appu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyU_lYu_INCL
appixavalYaxeVyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyo_lYu_DUB
appixavalYaxeVyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyo_lYu_INDF
appixavalYaxeVyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyo_lYu_PRES
appixavalYxeVye appu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYxeVye_lYu_IMPH
appixavalYxeVye appu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYxeVye_lYu_DECL
appixavalYxeVye appu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYxeVye_lYu_RIS
appixavalYoVdaneV appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneV_lYu_3SF
appixavalYoVdaneVyA appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyA_lYu_INTR
appixavalYoVdaneVyU appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyU_lYu_INCL
appixavalYoVdaneVyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyo_lYu_DUB
appixavalYoVdaneVyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyo_lYu_INDF
appixavalYoVdaneVyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyo_lYu_PRES
appixavalYoVdaneVye appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVye_lYu_IMPH
appixavalYoVdaneVye appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVye_lYu_DECL
appixavalYoVdaneVye appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVye_lYu_RIS
appixavalYoVMxigeV  appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeV_lYu_3SF
appixavalYoVMxigeVyA appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyA_lYu_INTR
appixavalYoVMxigeVyU appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyU_lYu_INCL
appixavalYoVMxigeVyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyo_lYu_DUB
appixavalYoVMxigeVyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyo_lYu_INDF
appixavalYoVMxigeVyo appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVyo_lYu_PRES
appixavalYoVMxigeVye appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVye_lYu_IMPH
appixavalYoVMxigeVye appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVye_lYu_DECL
appixavalYoVMxigeVye appu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVMxigeVye_lYu_RIS
appixavarannu appu(V4)+ixa_u_PRP+ixavaru_ixa_ACC+rannu_ru_3P
appixavariMxalA appu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalA_ru_INTR
appixavariMxalU appu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalU_ru_INCL
appixavariMxalo appu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalo_ru_DUB
appixavariMxalo appu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalo_ru_INDF
appixavariMxalo appu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxalo_ru_PRES
appixavariMxale appu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxale_ru_IMPH
appixavariMxale appu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxale_ru_DECL
appixavariMxale appu(V4)+ixa_u_PRP+ixavaru_ixa_INS+riMxale_ru_RIS
appixavarigeV appu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeV_ru_3P
appixavarigeVyA appu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyA_ru_INTR
appixavarigeVyU appu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyU_ru_INCL
appixavarigeVyo appu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyo_ru_DUB
appixavarigeVyo appu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyo_ru_INDF
appixavarigeVyo appu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVyo_ru_PRES
appixavarigeVye appu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVye_ru_IMPH
appixavarigeVye appu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVye_ru_DECL
appixavarigeVye appu(V4)+ixa_u_PRP+ixavaru_ixa_DAT+rigeVye_ru_RIS
appixavariMxa  appu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxa_ru_3P
appixavariMxalA appu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalA_ru_INTR
appixavariMxalU appu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalU_ru_INCL
appixavariMxalo appu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalo_ru_DUB
appixavariMxalo appu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalo_ru_INDF
appixavariMxalo appu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxalo_ru_PRES
appixavariMxale appu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxale_ru_IMPH
appixavariMxale appu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxale_ru_DECL
appixavariMxale appu(V4)+ixa_u_PRP+ixavaru_ixa_ABL+riMxale_ru_RIS
appixavara appu(V4)+ixa_u_PRP+ixavaru_ixa_GEN+ra_ru_3P
appixavaralli appu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralli_ru_3P
appixavaralliyA appu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyA_ru_INTR
appixavaralliyU appu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyU_ru_INCL
appixavaralliyo appu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyo_ru_DUB
appixavaralliyo appu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyo_ru_INDF
appixavaralliyo appu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliyo_ru_PRES
appixavaralliye appu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliye_ru_IMPH
appixavaralliye appu(V4)+ixa_u_PRP+ixavaru_ixa_LOC+ralliye_ru_DECL
