noVMxanu noyu(V17)+noVMxa_noyu_PAST+anu_a_3SM   
noyuvuxaroVdaneVyo noyu(V17)+vuxu_#_SOC+xaroVdaneVyo_xu_PRES
noyuvuxaroVdaneVye noyu(V17)+vuxu_#_SOC+xaroVdaneVye_xu_IMPH
noyuvuxaroVdaneVye noyu(V17)+vuxu_#_SOC+xaroVdaneVye_xu_DECL
noyuvuxaroVdaneVye noyu(V17)+vuxu_#_SOC+xaroVdaneVye_xu_RIS


noVMxavanannu noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ACC+nannu_nu_3SM
noVMxavanannA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ACC+nannA_nu_INTR
noVMxavanannU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ACC+nannU_nu_INCL
noVMxavananno noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ACC+nanno_nu_DUB
noVMxavananno noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ACC+nanno_nu_INDF
noVMxavananno noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ACC+nanno_nu_PRES
noVMxavananne noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ACC+nanne_nu_IMPH
noVMxavananne noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ACC+nanne_nu_DECL
noVMxavananne noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ACC+nanne_nu_RIS
noVMxavaniMnoVMxa noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_INS+niMnoVMxa_nu_3SM
noVMxavaniMnoVMxalA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_INS+niMnoVMxalA_nu_INTR
noVMxavaniMnoVMxalU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_INS+niMnoVMxalU_nu_INCL
noVMxavaniMnoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_INS+niMnoVMxalo_nu_DUB
noVMxavaniMnoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_INS+niMnoVMxalo_nu_INDF
noVMxavaniMnoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_INS+niMnoVMxalo_nu_PRES
noVMxavaniMnoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_INS+niMnoVMxale_nu_IMPH
noVMxavaniMnoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_INS+niMnoVMxale_nu_DECL
noVMxavaniMnoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_INS+niMnoVMxale_nu_RIS
noVMxavanalligeV noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_DAT+nalligeV_nu_3SM
noVMxavanalligeVyA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_DAT+nalligeVyA_nu_INTR
noVMxavanalligeVyU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_DAT+nalligeVyU_nu_INCL
noVMxavanalligeVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_DAT+nalligeVyo_nu_DUB
noVMxavanalligeVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_DAT+nalligeVyo_nu_INDF
noVMxavanalligeVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_DAT+nalligeVyo_nu_PRES
noVMxavanalligeVye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_DAT+nalligeVye_nu_IMPH
noVMxavanalligeVye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_DAT+nalligeVye_nu_DECL
noVMxavanalligeVye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_DAT+nalligeVye_nu_RIS
noVMxavaniMnoVMxa  noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ABL+niMnoVMxa_nu_3SM
noVMxavaninoVMxalA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ABL+ninoVMxalA_nu_INTR
noVMxavaninoVMxalU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ABL+ninoVMxalU_nu_INCL
noVMxavaninoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ABL+ninoVMxalo_nu_DUB
noVMxavaninoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ABL+ninoVMxalo_nu_INDF
noVMxavaninoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ABL+ninoVMxalo_nu_PRES
noVMxavaninoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ABL+ninoVMxale_nu_IMPH
noVMxavaninoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ABL+ninoVMxale_nu_DECL
noVMxavaninoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_ABL+ninoVMxale_nu_RIS
noVMxavana noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_GEN+na_nu_3SM
noVMxavanalli noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_LOC+nalli_nu_3SM
noVMxavanalliyA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_LOC+nalliyA_nu_INTR
noVMxavanalliyU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_LOC+nalliyU_nu_INCL
noVMxavanalliyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_LOC+nalliyo_nu_DUB
noVMxavanalliyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_LOC+nalliyo_nu_INDF
noVMxavanalliyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_LOC+nalliyo_nu_PRES
noVMxavanalliye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_LOC+nalliye_nu_IMPH
noVMxavanalliye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_LOC+nalliye_nu_DECL
noVMxavanalliye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_LOC+nalliye_nu_RIS
noVMxavanigoskara noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigoskara_nu_3SM
noVMxavanigoskaravA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigoskaravA_nu_INTR
noVMxavanigoskaravU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigoskaravU_nu_INCL
noVMxavanigoskaravo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigoskaravo_nu_DUB
noVMxavanigoskaravo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigoskaravo_nu_INDF
noVMxavanigoskaravo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigoskaravo_nu_PRES
noVMxavanigoskarave noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigoskarave_nu_IMPH
noVMxavanigoskarave noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigoskarave_nu_DECL
noVMxavanigoskarave noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigoskarave_nu_RIS
noVMxavanigoskara noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigoskara_nu_3SM
noVMxavanigoskaravA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigoskaravA_nu_INTR
noVMxavanigoskaravU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigoskaravU_nu_INCL
noVMxavanigoskaravo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigoskaravo_nu_DUB
noVMxavanigoskaravo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigoskaravo_nu_INDF
noVMxavanigoskaravo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigoskaravo_nu_PRES
noVMxavanigoskarave noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigoskarave_nu_IMPH
noVMxavanigoskarave noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigoskarave_nu_DECL
noVMxavanigoskarave noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigoskarave_nu_RIS
noVMxavanigAgi noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigAgi_nu_3SM
noVMxavanigAgiyA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigAgiyA_nu_INTR
noVMxavanigAgiyU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigAgiyU_nu_INCL
noVMxavanigAgiyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigAgiyo_nu_DUB
noVMxavanigAgiyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigAgiyo_nu_INDF
noVMxavanigAgiyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigAgiyo_nu_PRES
noVMxavanigAgiye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigAgiye_nu_IMPH
noVMxavanigAgiye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigAgiye_nu_DECL
noVMxavanigAgiye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigAgiye_nu_RIS
noVMxavanigAgi noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigAgi_nu_3SM
noVMxavanigAgiyA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigAgiyA_nu_INTR
noVMxavanigAgiyU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigAgiyU_nu_INCL
noVMxavanigAgiyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigAgiyo_nu_DUB
noVMxavanigAgiyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigAgiyo_nu_INDF
noVMxavanigAgiyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigAgiyo_nu_PRES
noVMxavanigAgiye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigAgiye_nu_IMPH
noVMxavanigAgiye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigAgiye_nu_DECL
noVMxavanigAgiye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigAgiye_nu_RIS
noVMxavanigosuga noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigosuga_nu_3SM
noVMxavanigosugavA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigosugavA_nu_INTR
noVMxavanigosugavU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigosugavU_nu_INCL
noVMxavanigosugavo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigosugavo_nu_DUB
noVMxavanigosugavo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigosugavo_nu_INDF
noVMxavanigosugavo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigosugavo_nu_PRES
noVMxavanigosugave noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigosugave_nu_IMPH
noVMxavanigosugave noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigosugave_nu_DECL
noVMxavanigosugave noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_BEN+nigosugave_nu_RIS
noVMxavanigosuga noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigosuga_nu_3SM
noVMxavanigosugavA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigosugavA_nu_INTR
noVMxavanigosugavU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigosugavU_nu_INCL
noVMxavanigosugavo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigosugavo_nu_DUB
noVMxavanigosugavo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigosugavo_nu_INDF
noVMxavanigosugavo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigosugavo_nu_PRES
noVMxavanigosugave noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigosugave_nu_IMPH
noVMxavanigosugave noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigosugave_nu_DECL
noVMxavanigosugave noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_PUR+nigosugave_nu_RIS
noVMxavaniginoVMxa noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_COMP+niginoVMxa_nu_3SM
noVMxavaniginoVMxalA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_COMP+niginoVMxalA_nu_INTR
noVMxavaniginoVMxalU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_COMP+niginoVMxalU_nu_INCL
noVMxavaniginoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_COMP+niginoVMxalo_nu_DUB
noVMxavaniginoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_COMP+niginoVMxalo_nu_INDF
noVMxavaniginoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_COMP+niginoVMxalo_nu_PRES
noVMxavaniginoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_COMP+niginoVMxale_nu_IMPH
noVMxavaniginoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_COMP+niginoVMxale_nu_DECL
noVMxavaniginoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_COMP+niginoVMxale_nu_RIS
noVMxavanaxeV noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SIM+naxeV_nu_3SM
noVMxavanaxeVyA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SIM+naxeVyA_nu_INTR
noVMxavanaxeVyU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SIM+naxeVyU_nu_INCL
noVMxavanaxeVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SIM+naxeVyo_nu_DUB
noVMxavanaxeVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SIM+naxeVyo_nu_INDF
noVMxavanaxeVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SIM+naxeVyo_nu_PRES
noVMxavanaxeVye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SIM+naxeVye_nu_IMPH
noVMxavanaxeVye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SIM+naxeVye_nu_DECL
noVMxavanaxeVye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SIM+naxeVye_nu_RIS
noVMxavanoVdaneV noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVdaneV_nu_3SM
noVMxavanoVdaneVyA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVdaneVyA_nu_INTR
noVMxavanoVdaneVyU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVdaneVyU_nu_INCL
noVMxavanoVdaneVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVdaneVyo_nu_DUB
noVMxavanoVdaneVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVdaneVyo_nu_INDF
noVMxavanoVdaneVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVdaneVyo_nu_PRES
noVMxavanoVdaneVye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVdaneVye_nu_IMPH
noVMxavanoVdaneVye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVdaneVye_nu_DECL
noVMxavanoVdaneVye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVdaneVye_nu_RIS
noVMxavanoVMxigeV noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVMxigeV_nu_3SM
noVMxavanoVMxigeVyA noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVMxigeVyA_nu_INTR
noVMxavanoVMxigeVyU noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVMxigeVyU_nu_INCL
noVMxavanoVMxigeVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVMxigeVyo_nu_DUB
noVMxavanoVMxigeVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVMxigeVyo_nu_INDF
noVMxavanoVMxigeVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVMxigeVyo_nu_PRES
noVMxavanoVMxigeVye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVMxigeVye_nu_IMPH
noVMxavanoVMxigeVye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVMxigeVye_nu_DECL
noVMxavanoVMxigeVye noyu(V4)+noVMxa_noyu_PRP+noVMxavanu_noVMxa_SOC+noVMxigeVye_nu_RIS
noVMxavalYannu noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ACC+lYannu_lYu_3SF
noVMxavalYannA noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ACC+lYannA_lYu_INTR
noVMxavalYannU noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ACC+lYannU_lYu_INCL
noVMxavalYanno noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ACC+lYanno_lYu_DUB
noVMxavalYanno noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ACC+lYanno_lYu_INDF
noVMxavalYanno noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ACC+lYanno_lYu_PRES
noVMxavalYanne noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ACC+lYanne_lYu_IMPH
noVMxavalYanne noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ACC+lYanne_lYu_DECL
noVMxavalYanne noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ACC+lYanne_lYu_RIS
noVMxavalYinoVMxa noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_INS+lYinoVMxa_lYu_3SF
noVMxavalYinoVMxalA noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_INS+lYinoVMxalA_lYu_INTR
noVMxavalYinoVMxalU noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_INS+lYinoVMxalU_lYu_INCL
noVMxavalYinoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_INS+lYinoVMxalo_lYu_DUB
noVMxavalYinoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_INS+lYinoVMxalo_lYu_INDF
noVMxavalYinoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_INS+lYinoVMxalo_lYu_PRES
noVMxavalYinoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_INS+lYinoVMxale_lYu_IMPH
noVMxavalYinoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_INS+lYinoVMxale_lYu_DECL
noVMxavalYinoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_INS+lYinoVMxale_lYu_RIS
noVMxavalYigeV noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_DAT+lYigeV_lYu_3SF
noVMxavalYigeVyA noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_DAT+lYigeVyA_lYu_INTR
noVMxavalYigeVyU noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_DAT+lYigeVyU_lYu_INCL
noVMxavalYigeVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_DAT+lYigeVyo_lYu_DUB
noVMxavalYigeVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_DAT+lYigeVyo_lYu_INDF
noVMxavalYigeVyo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_DAT+lYigeVyo_lYu_PRES
noVMxavalYigeVye noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_DAT+lYigeVye_lYu_IMPH
noVMxavalYigeVye noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_DAT+lYigeVye_lYu_DECL
noVMxavalYigeVye noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_DAT+lYigeVye_lYu_RIS
noVMxavalYiMnoVMxa  noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ABL+lYiMnoVMxa_lYu_3SF
noVMxavalYiMnoVMxalA noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ABL+lYiMnoVMxalA_lYu_INTR
noVMxavalYiMnoVMxalU noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ABL+lYiMnoVMxalU_lYu_INCL
noVMxavalYiMnoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ABL+lYiMnoVMxalo_lYu_DUB
noVMxavalYiMnoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ABL+lYiMnoVMxalo_lYu_INDF
noVMxavalYiMnoVMxalo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ABL+lYiMnoVMxalo_lYu_PRES
noVMxavalYiMnoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ABL+lYiMnoVMxale_lYu_IMPH
noVMxavalYiMnoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ABL+lYiMnoVMxale_lYu_DECL
noVMxavalYiMnoVMxale noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_ABL+lYiMnoVMxale_lYu_RIS
noVMxavalYa noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_GEN+lYa_lYu_3SF
noVMxavalYalli noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_LOC+lYalli_lYu_3SF
noVMxavalYalliyA noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_LOC+lYalliyA_lYu_INTR
noVMxavalYalliyU noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_LOC+lYalliyU_lYu_INCL
noVMxavalYalliyo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_LOC+lYalliyo_lYu_DUB
noVMxavalYalliyo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_LOC+lYalliyo_lYu_INDF
noVMxavalYalliyo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_LOC+lYalliyo_lYu_PRES
noVMxavalYalliye noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_LOC+lYalliye_lYu_IMPH
noVMxavalYalliye noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_LOC+lYalliye_lYu_DECL
noVMxavalYalliye noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_LOC+lYalliye_lYu_RIS
noVMxavalYigoskara noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_BEN+lYigoskara_lYu_3SF
noVMxavalYigoskaravA noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_BEN+lYigoskaravA_lYu_INTR
noVMxavalYigoskaravU noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_BEN+lYigoskaravU_lYu_INCL
noVMxavalYigoskaravo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_BEN+lYigoskaravo_lYu_DUB
noVMxavalYigoskaravo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_BEN+lYigoskaravo_lYu_INDF
noVMxavalYigoskaravo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_BEN+lYigoskaravo_lYu_PRES
noVMxavalYigoskarave noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_BEN+lYigoskarave_lYu_IMPH
noVMxavalYigoskarave noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_BEN+lYigoskarave_lYu_DECL
noVMxavalYigoskarave noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_BEN+lYigoskarave_lYu_RIS
noVMxavalYigoskara noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_PUR+lYigoskara_lYu_3SF
noVMxavalYigoskaravA noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_PUR+lYigoskaravA_lYu_INTR
noVMxavalYigoskaravU noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_PUR+lYigoskaravU_lYu_INCL
noVMxavalYigoskaravo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_PUR+lYigoskaravo_lYu_DUB
noVMxavalYigoskaravo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_PUR+lYigoskaravo_lYu_INDF
noVMxavalYigoskaravo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_PUR+lYigoskaravo_lYu_PRES
noVMxavalYigoskarave noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_PUR+lYigoskarave_lYu_IMPH
noVMxavalYigoskarave noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_PUR+lYigoskarave_lYu_DECL
noVMxavalYigoskarave noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_PUR+lYigoskarave_lYu_RIS
noVMxavalYigAgi noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_BEN+lYigAgi_lYu_3SF
noVMxavalYigAgiyA noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_BEN+lYigAgiyA_lYu_INTR
noVMxavalYigAgiyU noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_BEN+lYigAgiyU_lYu_INCL
noVMxavalYigAgiyo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_BEN+lYigAgiyo_lYu_DUB
noVMxavalYigAgiyo noyu(V4)+noVMxa_noyu_PRP+noVMxavalYu_noVMxa_BEN+lYigAgiyo_lYu_INDF
