agalixanu agalu(V26)+ixa_u_PAST+anu_a_3SM    
agalixavanalligeVyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_INDF
agalixavanalligeVyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_PRES
agalixavanalligeVye agalu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_IMPH
agalixavanalligeVye agalu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_DECL
agalixavanalligeVye agalu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_RIS
agalixavaniMxa  agalu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxa_nu_3SM
agalixavaniMxalA agalu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalA_nu_INTR
agalixavaniMxalU agalu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalU_nu_INCL
agalixavaniMxalo agalu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_DUB
agalixavaniMxalo agalu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_INDF
agalixavaniMxalo agalu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_PRES
agalixavaniMxale agalu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_IMPH
agalixavaniMxale agalu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_DECL
agalixavaniMxale agalu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_RIS
agalixavana agalu(V4)+ixa_u_PRP+ixavanu_ixa_GEN+na_nu_3SM
agalixavanalli agalu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalli_nu_3SM
agalixavanalliyA agalu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyA_nu_INTR
agalixavanalliyU agalu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyU_nu_INCL
agalixavanalliyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_DUB
agalixavanalliyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_INDF
agalixavanalliyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_PRES
agalixavanalliye agalu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_IMPH
agalixavanalliye agalu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_DECL
agalixavanalliye agalu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_RIS
agalixavanigoskara agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskara_nu_3SM
agalixavanigoskaravA agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravA_nu_INTR
agalixavanigoskaravU agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravU_nu_INCL
agalixavanigoskaravo agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_DUB
agalixavanigoskaravo agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_INDF
agalixavanigoskaravo agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_PRES
agalixavanigoskarave agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_IMPH
agalixavanigoskarave agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_DECL
agalixavanigoskarave agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_RIS
agalixavanigoskara agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskara_nu_3SM
agalixavanigoskaravA agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravA_nu_INTR
agalixavanigoskaravU agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravU_nu_INCL
agalixavanigoskaravo agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_DUB
agalixavanigoskaravo agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_INDF
agalixavanigoskaravo agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_PRES
agalixavanigoskarave agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_IMPH
agalixavanigoskarave agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_DECL
agalixavanigoskarave agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_RIS
agalixavanigAgi agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgi_nu_3SM
agalixavanigAgiyA agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyA_nu_INTR
agalixavanigAgiyU agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyU_nu_INCL
agalixavanigAgiyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_DUB
agalixavanigAgiyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_INDF
agalixavanigAgiyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_PRES
agalixavanigAgiye agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_IMPH
agalixavanigAgiye agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_DECL
agalixavanigAgiye agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_RIS
agalixavanigAgi agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgi_nu_3SM
agalixavanigAgiyA agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyA_nu_INTR
agalixavanigAgiyU agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyU_nu_INCL
agalixavanigAgiyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_DUB
agalixavanigAgiyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_INDF
agalixavanigAgiyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_PRES
agalixavanigAgiye agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_IMPH
agalixavanigAgiye agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_DECL
agalixavanigAgiye agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_RIS
agalixavanigosuga agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosuga_nu_3SM
agalixavanigosugavA agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavA_nu_INTR
agalixavanigosugavU agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavU_nu_INCL
agalixavanigosugavo agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_DUB
agalixavanigosugavo agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_INDF
agalixavanigosugavo agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_PRES
agalixavanigosugave agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_IMPH
agalixavanigosugave agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_DECL
agalixavanigosugave agalu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_RIS
agalixavanigosuga agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosuga_nu_3SM
agalixavanigosugavA agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavA_nu_INTR
agalixavanigosugavU agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavU_nu_INCL
agalixavanigosugavo agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_DUB
agalixavanigosugavo agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_INDF
agalixavanigosugavo agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_PRES
agalixavanigosugave agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_IMPH
agalixavanigosugave agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_DECL
agalixavanigosugave agalu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_RIS
agalixavanigiMwa agalu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwa_nu_3SM
agalixavanigiMwalA agalu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalA_nu_INTR
agalixavanigiMwalU agalu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalU_nu_INCL
agalixavanigiMwalo agalu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_DUB
agalixavanigiMwalo agalu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_INDF
agalixavanigiMwalo agalu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_PRES
agalixavanigiMwale agalu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_IMPH
agalixavanigiMwale agalu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_DECL
agalixavanigiMwale agalu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_RIS
agalixavanaxeV agalu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeV_nu_3SM
agalixavanaxeVyA agalu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyA_nu_INTR
agalixavanaxeVyU agalu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyU_nu_DUB
agalixavanaxeVyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyo_nu_INDF
agalixavanaxeVyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyo_nu_PRES
agalixavanaxeVye agalu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_IMPH
agalixavanaxeVye agalu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_DECL
agalixavanaxeVye agalu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_RIS
agalixavanoVdaneV agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneV_nu_3SM
agalixavanoVdaneVyA agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyA_nu_INTR
agalixavanoVdaneVyU agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyU_nu_INCL
agalixavanoVdaneVyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_DUB
agalixavanoVdaneVyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_INDF
agalixavanoVdaneVyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_PRES
agalixavanoVdaneVye agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_IMPH
agalixavanoVdaneVye agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_DECL
agalixavanoVdaneVye agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_RIS
agalixavanoVMxigeV agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeV_nu_3SM
agalixavanoVMxigeVyA agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyA_nu_INTR
agalixavanoVMxigeVyU agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyU_nu_INCL
agalixavanoVMxigeVyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_DUB
agalixavanoVMxigeVyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_INDF
agalixavanoVMxigeVyo agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_PRES
agalixavanoVMxigeVye agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_IMPH
agalixavanoVMxigeVye agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_DECL
agalixavanoVMxigeVye agalu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_RIS
agalixavalYannu agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannu_lYu_3SF
agalixavalYannA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannA_lYu_INTR
agalixavalYannU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannU_lYu_INCL
agalixavalYanno agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_DUB
agalixavalYanno agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_INDF
agalixavalYanno agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_PRES
agalixavalYanne agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_IMPH
agalixavalYanne agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_DECL
agalixavalYanne agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_RIS
agalixavalYiMxa agalu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxa_lYu_3SF
agalixavalYiMxalA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalA_lYu_INTR
agalixavalYiMxalU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalU_lYu_INCL
agalixavalYiMxalo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_DUB
agalixavalYiMxalo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_INDF
agalixavalYiMxalo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_PRES
agalixavalYiMxale agalu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxale_lYu_IMPH
agalixavalYiMxale agalu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxale_lYu_DECL
agalixavalYiMxale agalu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxale_lYu_RIS
agalixavalYigeV agalu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeV_lYu_3SF
agalixavalYigeVyA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyA_lYu_INTR
agalixavalYigeVyU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyU_lYu_INCL
agalixavalYigeVyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyo_lYu_DUB
agalixavalYigeVyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyo_lYu_INDF
agalixavalYigeVyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVyo_lYu_PRES
agalixavalYigeVye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVye_lYu_IMPH
agalixavalYigeVye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVye_lYu_DECL
agalixavalYigeVye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_DAT+lYigeVye_lYu_RIS
agalixavalYiMxa  agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxa_lYu_3SF
agalixavalYiMxalA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalA_lYu_INTR
agalixavalYiMxalU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalU_lYu_INCL
agalixavalYiMxalo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalo_lYu_DUB
agalixavalYiMxalo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalo_lYu_INDF
agalixavalYiMxalo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxalo_lYu_PRES
agalixavalYiMxale agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxale_lYu_IMPH
agalixavalYiMxale agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxale_lYu_DECL
agalixavalYiMxale agalu(V4)+ixa_u_PRP+ixavalYu_ixa_ABL+lYiMxale_lYu_RIS
agalixavalYa agalu(V4)+ixa_u_PRP+ixavalYu_ixa_GEN+lYa_lYu_3SF
agalixavalYalli agalu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalli_lYu_3SF
agalixavalYalliyA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyA_lYu_INTR
agalixavalYalliyU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyU_lYu_INCL
agalixavalYalliyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyo_lYu_DUB
agalixavalYalliyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyo_lYu_INDF
agalixavalYalliyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliyo_lYu_PRES
agalixavalYalliye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliye_lYu_IMPH
agalixavalYalliye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliye_lYu_DECL
agalixavalYalliye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_LOC+lYalliye_lYu_RIS
agalixavalYigoskara agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskara_lYu_3SF
agalixavalYigoskaravA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravA_lYu_INTR
agalixavalYigoskaravU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravU_lYu_INCL
agalixavalYigoskaravo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravo_lYu_DUB
agalixavalYigoskaravo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravo_lYu_INDF
agalixavalYigoskaravo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskaravo_lYu_PRES
agalixavalYigoskarave agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskarave_lYu_IMPH
agalixavalYigoskarave agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskarave_lYu_DECL
agalixavalYigoskarave agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigoskarave_lYu_RIS
agalixavalYigoskara agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskara_lYu_3SF
agalixavalYigoskaravA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravA_lYu_INTR
agalixavalYigoskaravU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravU_lYu_INCL
agalixavalYigoskaravo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravo_lYu_DUB
agalixavalYigoskaravo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravo_lYu_INDF
agalixavalYigoskaravo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskaravo_lYu_PRES
agalixavalYigoskarave agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskarave_lYu_IMPH
agalixavalYigoskarave agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskarave_lYu_DECL
agalixavalYigoskarave agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigoskarave_lYu_RIS
agalixavalYigAgi agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgi_lYu_3SF
agalixavalYigAgiyA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyA_lYu_INTR
agalixavalYigAgiyU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyU_lYu_INCL
agalixavalYigAgiyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyo_lYu_DUB
agalixavalYigAgiyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyo_lYu_INDF
agalixavalYigAgiyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiyo_lYu_PRES
agalixavalYigAgiye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiye_lYu_IMPH
agalixavalYigAgiye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiye_lYu_DECL
agalixavalYigAgiye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigAgiye_lYu_RIS
agalixavalYigAgi agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgi_lYu_3SF
agalixavalYigAgiyA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyA_lYu_INTR
agalixavalYigAgiyU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyU_lYu_INCL
agalixavalYigAgiyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyo_lYu_DUB
agalixavalYigAgiyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyo_lYu_INDF
agalixavalYigAgiyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiyo_lYu_PRES
agalixavalYigAgiye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiye_lYu_IMPH
agalixavalYigAgiye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiye_lYu_DECL
agalixavalYigAgiye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigAgiye_lYu_RIS
agalixavalYigosuga agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosuga_lYu_3SF
agalixavalYigosugavA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavA_lYu_INTR
agalixavalYigosugavU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavU_lYu_INCL
agalixavalYigosugavo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavo_lYu_DUB
agalixavalYigosugavo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavo_lYu_INDF
agalixavalYigosugavo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugavo_lYu_PRES
agalixavalYigosugave agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugave_lYu_IMPH
agalixavalYigosugave agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugave_lYu_DECL
agalixavalYigosugave agalu(V4)+ixa_u_PRP+ixavalYu_ixa_BEN+lYigosugave_lYu_RIS
agalixavalYigosuga agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosuga_lYu_3SF
agalixavalYigosugavA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavA_lYu_INTR
agalixavalYigosugavU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavU_lYu_INCL
agalixavalYigosugavo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavo_lYu_DUB
agalixavalYigosugavo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavo_lYu_INDF
agalixavalYigosugavo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugavo_lYu_PRES
agalixavalYigosugave agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugave_lYu_IMPH
agalixavalYigosugave agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugave_lYu_DECL
agalixavalYigosugave agalu(V4)+ixa_u_PRP+ixavalYu_ixa_PUR+lYigosugave_lYu_RIS
agalixavalYigiMwa agalu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwa_lYu_3SF
agalixavalYigiMwalA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalA_lYu_INTR
agalixavalYigiMwalU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalU_lYu_INCL
agalixavalYigiMwalo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalo_lYu_DUB
agalixavalYigiMwalo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalo_lYu_INDF
agalixavalYigiMwalo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwalo_lYu_PRES
agalixavalYigiMwale agalu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwale_lYu_IMPH
agalixavalYigiMwale agalu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwale_lYu_DECL
agalixavalYigiMwale agalu(V4)+ixa_u_PRP+ixavalYu_ixa_COMP+lYigiMwale_lYu_RIS
agalixavalYagalixeV agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYagalixeV_lYu_3SF
agalixavalYaxeVyA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyA_lYu_INTR
agalixavalYaxeVyU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyU_lYu_INCL
agalixavalYaxeVyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyo_lYu_DUB
agalixavalYaxeVyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyo_lYu_INDF
agalixavalYaxeVyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYaxeVyo_lYu_PRES
agalixavalYxeVye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYxeVye_lYu_IMPH
agalixavalYxeVye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYxeVye_lYu_DECL
agalixavalYxeVye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SIM+lYxeVye_lYu_RIS
agalixavalYoVdaneV agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneV_lYu_3SF
agalixavalYoVdaneVyA agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyA_lYu_INTR
agalixavalYoVdaneVyU agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyU_lYu_INCL
agalixavalYoVdaneVyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyo_lYu_DUB
agalixavalYoVdaneVyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyo_lYu_INDF
agalixavalYoVdaneVyo agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVyo_lYu_PRES
agalixavalYoVdaneVye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVye_lYu_IMPH
agalixavalYoVdaneVye agalu(V4)+ixa_u_PRP+ixavalYu_ixa_SOC+lYoVdaneVye_lYu_DECL
