kadixanu kadi(V18)+xa_#_PAST+anu_a_3SM   
kadivuxakkeVyo kadi(V18)+vuxu_#_DAT+xakkeVyo_xu_DUB
kadivuxakkeVyo kadi(V18)+vuxu_#_DAT+xakkeVyo_xu_INDF
kadivuxakkeVyo kadi(V18)+vuxu_#_DAT+xakkeVyo_xu_PRES
kadivuxakkeVye kadi(V18)+vuxu_#_DAT+xakkeVye_xu_IMPH
kadivuxakkeVye kadi(V18)+vuxu_#_DAT+xakkeVye_xu_DECL
kadivuxakkeVye kadi(V18)+vuxu_#_DAT+xakkeVye_xu_RIS
kadivuxarixalA kadi(V18)+vuxu_#_ABL+xarixalA_xu_INTR
kadivuxarixalU kadi(V18)+vuxu_#_ABL+xarixalU_xu_INCL
kadivuxarixalo kadi(V18)+vuxu_#_ABL+xarixalo_xu_DUB
kadivuxarixalo kadi(V18)+vuxu_#_ABL+xarixalo_xu_INDF
kadivuxarixalo kadi(V18)+vuxu_#_ABL+xarixalo_xu_PRES
kadivuxarixale kadi(V18)+vuxu_#_ABL+xarixale_xu_IMPH
kadivuxarixale kadi(V18)+vuxu_#_ABL+xarixale_xu_DECL
kadivuxarixale kadi(V18)+vuxu_#_ABL+xarixale_xu_RIS
kadivuxaralliyA kadi(V18)+vuxu_#_LOC+xaralliyA_xu_INTR
kadivuxaralliyU kadi(V18)+vuxu_#_LOC+xaralliyU_xu_INCL
kadivuxaralliyo kadi(V18)+vuxu_#_LOC+xaralliyo_xu_DUB
kadivuxaralliyo kadi(V18)+vuxu_#_LOC+xaralliyo_xu_INDF
kadivuxaralliyo kadi(V18)+vuxu_#_LOC+xaralliyo_xu_PRES
kadivuxaralliye kadi(V18)+vuxu_#_LOC+xaralliye_xu_IMPH
kadivuxaralliye kadi(V18)+vuxu_#_LOC+xaralliye_xu_DECL
kadivuxaralliye kadi(V18)+vuxu_#_LOC+xaralliye_xu_RIS
kadivuxakkoskarayuva kadi(V18)+vuxu_#_BEN+xakkoskarayuva_xu_INTR
kadivuxakkoskaravU kadi(V18)+vuxu_#_BEN+xakkoskaravU_xu_INCL
kadivuxakkoskaravo kadi(V18)+vuxu_#_BEN+xakkoskaravo_xu_DUB
kadivuxakkoskaravo kadi(V18)+vuxu_#_BEN+xakkoskaravo_xu_INDF
kadivuxakkoskaravo kadi(V18)+vuxu_#_BEN+xakkoskaravo_xu_PRES
kadivuxakkoskarave kadi(V18)+vuxu_#_BEN+xakkoskarave_xu_IMPH
kadivuxakkoskarave kadi(V18)+vuxu_#_BEN+xakkoskarave_xu_DECL
kadivuxakkoskarave kadi(V18)+vuxu_#_BEN+xakkoskarave_xu_RIS
kadivuxakkoskarayuva kadi(V18)+vuxu_#_PUR+xakkoskarayuva_xu_INTR
kadivuxakkoskaravU kadi(V18)+vuxu_#_PUR+xakkoskaravU_xu_INCL
kadivuxakkoskaravo kadi(V18)+vuxu_#_PUR+xakkoskaravo_xu_DUB
kadivuxakkoskaravo kadi(V18)+vuxu_#_PUR+xakkoskaravo_xu_INDF
kadivuxakkoskaravo kadi(V18)+vuxu_#_PUR+xakkoskaravo_xu_PRES
kadivuxakkoskarave kadi(V18)+vuxu_#_PUR+xakkoskarave_xu_IMPH
kadivuxakkoskarave kadi(V18)+vuxu_#_PUR+xakkoskarave_xu_DECL
kadivuxakkoskarave kadi(V18)+vuxu_#_PUR+xakkoskarave_xu_RIS
kadivuxakkkadiyiyA kadi(V18)+vuxu_#_BEN+xakkkadiyiyA_xu_INTR
kadivuxakkkadiyiyU kadi(V18)+vuxu_#_BEN+xakkkadiyiyU_xu_INCL
kadivuxakkkadiyiyo kadi(V18)+vuxu_#_BEN+xakkkadiyiyo_xu_DUB
kadivuxakkkadiyiyo kadi(V18)+vuxu_#_BEN+xakkkadiyiyo_xu_INDF
kadivuxakkkadiyiyo kadi(V18)+vuxu_#_BEN+xakkkadiyiyo_xu_PRES
kadivuxakkkadiyiye kadi(V18)+vuxu_#_BEN+xakkkadiyiye_xu_IMPH
kadivuxakkkadiyiye kadi(V18)+vuxu_#_BEN+xakkkadiyiye_xu_DECL
kadivuxakkkadiyiye kadi(V18)+vuxu_#_BEN+xakkkadiyiye_xu_RIS
kadivuxakkkadiyiyA kadi(V18)+vuxu_#_PUR+xakkkadiyiyA_xu_INTR
kadivuxakkkadiyiyU kadi(V18)+vuxu_#_PUR+xakkkadiyiyU_xu_INCL
kadivuxakkkadiyiyo kadi(V18)+vuxu_#_PUR+xakkkadiyiyo_xu_DUB
kadivuxakkkadiyiyo kadi(V18)+vuxu_#_PUR+xakkkadiyiyo_xu_INDF
kadivuxakkkadiyiyo kadi(V18)+vuxu_#_PUR+xakkkadiyiyo_xu_PRES
kadivuxakkkadiyiye kadi(V18)+vuxu_#_PUR+xakkkadiyiye_xu_IMPH
kadivuxakkkadiyiye kadi(V18)+vuxu_#_PUR+xakkkadiyiye_xu_DECL
kadivuxakkkadiyiye kadi(V18)+vuxu_#_PUR+xakkkadiyiye_xu_RIS
kadivuxakkosugayuva kadi(V18)+vuxu_#_BEN+xakkosugayuva_xu_INTR
kadivuxakkosugavU kadi(V18)+vuxu_#_BEN+xakkosugavU_xu_INCL
kadivuxakkosugavo kadi(V18)+vuxu_#_BEN+xakkosugavo_xu_DUB
kadivuxakkosugavo kadi(V18)+vuxu_#_BEN+xakkosugavo_xu_INDF
kadivuxakkosugavo kadi(V18)+vuxu_#_BEN+xakkosugavo_xu_PRES
kadivuxakkosugave kadi(V18)+vuxu_#_BEN+xakkosugave_xu_IMPH
kadivuxakkosugave kadi(V18)+vuxu_#_BEN+xakkosugave_xu_DECL
kadivuxakkosugave kadi(V18)+vuxu_#_BEN+xakkosugave_xu_RIS
kadivuxakkosugayuva kadi(V18)+vuxu_#_PUR+xakkosugayuva_xu_INTR
kadivuxakkosugavU kadi(V18)+vuxu_#_PUR+xakkosugavU_xu_INCL
kadivuxakkosugavo kadi(V18)+vuxu_#_PUR+xakkosugavo_xu_DUB
kadivuxakkosugavo kadi(V18)+vuxu_#_PUR+xakkosugavo_xu_INDF
kadivuxakkosugavo kadi(V18)+vuxu_#_PUR+xakkosugavo_xu_PRES
kadivuxakkosugave kadi(V18)+vuxu_#_PUR+xakkosugave_xu_IMPH
kadivuxakkosugave kadi(V18)+vuxu_#_PUR+xakkosugave_xu_DECL
kadivuxakkosugave kadi(V18)+vuxu_#_PUR+xakkosugave_xu_RIS
kadivuxakkiMwalA kadi(V18)+vuxu_#_COMP+xakkiMwalA_xu_INTR
kadivuxakkiMwalU kadi(V18)+vuxu_#_COMP+xakkiMwalU_xu_INCL
kadivuxakkiMwalo kadi(V18)+vuxu_#_COMP+xakkiMwalo_xu_DUB
kadivuxakkiMwalo kadi(V18)+vuxu_#_COMP+xakkiMwalo_xu_INDF
kadivuxakkiMwalo kadi(V18)+vuxu_#_COMP+xakkiMwalo_xu_PRES
kadivuxakkiMwale kadi(V18)+vuxu_#_COMP+xakkiMwale_xu_IMPH
kadivuxakkiMwale kadi(V18)+vuxu_#_COMP+xakkiMwale_xu_DECL
kadivuxakkiMwale kadi(V18)+vuxu_#_COMP+xakkiMwale_xu_RIS
kadiyuvaMweVyA kadi(V18)+yuva_#_SIM+yuvaMweVyA_yuva_INTR
kadiyuvaMweVyU kadi(V18)+yuva_#_SIM+yuvaMweVyU_yuva_INCL
kadiyuvaMweVyo kadi(V18)+yuva_#_SIM+yuvaMweVyo_yuva_DUB
kadiyuvaMweVyo kadi(V18)+yuva_#_SIM+yuvaMweVyo_yuva_INDF
kadiyuvaMweVyo kadi(V18)+yuva_#_SIM+yuvaMweVyo_yuva_PRES
kadiyuvaMweVye kadi(V18)+yuva_#_SIM+yuvaMweVye_yuva_IMPH
kadiyuvaMweVye kadi(V18)+yuva_#_SIM+yuvaMweVye_yuva_DECL
kadiyuvaMweVye kadi(V18)+yuva_#_SIM+yuvaMweVye_yuva_RIS
kadivuxaroVMxigeVyA kadi(V18)+vuxu_#_SOC+xaroVMxigeVyA_xu_INTR
kadivuxaroVMxigeVyU kadi(V18)+vuxu_#_SOC+xaroVMxigeVyU_xu_INCL
kadivuxaroVMxigeVyo kadi(V18)+vuxu_#_SOC+xaroVMxigeVyo_xu_DUB
kadivuxaroVMxigeVyo kadi(V18)+vuxu_#_SOC+xaroVMxigeVyo_xu_INDF
kadivuxaroVMxigeVyo kadi(V18)+vuxu_#_SOC+xaroVMxigeVyo_xu_PRES
kadivuxaroVMxigeVye kadi(V18)+vuxu_#_SOC+xaroVMxigeVye_xu_IMPH
kadivuxaroVMxigeVye kadi(V18)+vuxu_#_SOC+xaroVMxigeVye_xu_DECL
kadivuxaroVMxigeVye kadi(V18)+vuxu_#_SOC+xaroVMxigeVye_xu_RIS
kadivuxaroVdaneVyA kadi(V18)+vuxu_#_SOC+xaroVdaneVyA_xu_INTR
kadivuxaroVdaneVyU kadi(V18)+vuxu_#_SOC+xaroVdaneVyU_xu_INCL
kadivuxaroVdaneVyo kadi(V18)+vuxu_#_SOC+xaroVdaneVyo_xu_DUB
kadivuxaroVdaneVyo kadi(V18)+vuxu_#_SOC+xaroVdaneVyo_xu_INDF
kadivuxaroVdaneVyo kadi(V18)+vuxu_#_SOC+xaroVdaneVyo_xu_PRES
kadivuxaroVdaneVye kadi(V18)+vuxu_#_SOC+xaroVdaneVye_xu_IMPH
kadivuxaroVdaneVye kadi(V18)+vuxu_#_SOC+xaroVdaneVye_xu_DECL
kadivuxaroVdaneVye kadi(V18)+vuxu_#_SOC+xaroVdaneVye_xu_RIS


kadixayuvanannu kadi(V4)+xa_#_PRP+xayuvanu_xa_ACC+nannu_nu_3SM
kadixayuvanannA kadi(V4)+xa_#_PRP+xayuvanu_xa_ACC+nannA_nu_INTR
kadixayuvanannU kadi(V4)+xa_#_PRP+xayuvanu_xa_ACC+nannU_nu_INCL
kadixayuvananno kadi(V4)+xa_#_PRP+xayuvanu_xa_ACC+nanno_nu_DUB
kadixayuvananno kadi(V4)+xa_#_PRP+xayuvanu_xa_ACC+nanno_nu_INDF
kadixayuvananno kadi(V4)+xa_#_PRP+xayuvanu_xa_ACC+nanno_nu_PRES
kadixayuvananne kadi(V4)+xa_#_PRP+xayuvanu_xa_ACC+nanne_nu_IMPH
kadixayuvananne kadi(V4)+xa_#_PRP+xayuvanu_xa_ACC+nanne_nu_DECL
kadixayuvananne kadi(V4)+xa_#_PRP+xayuvanu_xa_ACC+nanne_nu_RIS
kadixayuvaniMxa kadi(V4)+xa_#_PRP+xayuvanu_xa_INS+niMxa_nu_3SM
kadixayuvaniMxalA kadi(V4)+xa_#_PRP+xayuvanu_xa_INS+niMxalA_nu_INTR
kadixayuvaniMxalU kadi(V4)+xa_#_PRP+xayuvanu_xa_INS+niMxalU_nu_INCL
kadixayuvaniMxalo kadi(V4)+xa_#_PRP+xayuvanu_xa_INS+niMxalo_nu_DUB
kadixayuvaniMxalo kadi(V4)+xa_#_PRP+xayuvanu_xa_INS+niMxalo_nu_INDF
kadixayuvaniMxalo kadi(V4)+xa_#_PRP+xayuvanu_xa_INS+niMxalo_nu_PRES
kadixayuvaniMxale kadi(V4)+xa_#_PRP+xayuvanu_xa_INS+niMxale_nu_IMPH
kadixayuvaniMxale kadi(V4)+xa_#_PRP+xayuvanu_xa_INS+niMxale_nu_DECL
kadixayuvaniMxale kadi(V4)+xa_#_PRP+xayuvanu_xa_INS+niMxale_nu_RIS
kadixayuvanalligeV kadi(V4)+xa_#_PRP+xayuvanu_xa_DAT+nalligeV_nu_3SM
kadixayuvanalligeVyA kadi(V4)+xa_#_PRP+xayuvanu_xa_DAT+nalligeVyA_nu_INTR
kadixayuvanalligeVyU kadi(V4)+xa_#_PRP+xayuvanu_xa_DAT+nalligeVyU_nu_INCL
kadixayuvanalligeVyo kadi(V4)+xa_#_PRP+xayuvanu_xa_DAT+nalligeVyo_nu_DUB
kadixayuvanalligeVyo kadi(V4)+xa_#_PRP+xayuvanu_xa_DAT+nalligeVyo_nu_INDF
kadixayuvanalligeVyo kadi(V4)+xa_#_PRP+xayuvanu_xa_DAT+nalligeVyo_nu_PRES
kadixayuvanalligeVye kadi(V4)+xa_#_PRP+xayuvanu_xa_DAT+nalligeVye_nu_IMPH
kadixayuvanalligeVye kadi(V4)+xa_#_PRP+xayuvanu_xa_DAT+nalligeVye_nu_DECL
kadixayuvanalligeVye kadi(V4)+xa_#_PRP+xayuvanu_xa_DAT+nalligeVye_nu_RIS
kadixayuvaniMxa  kadi(V4)+xa_#_PRP+xayuvanu_xa_ABL+niMxa_nu_3SM
kadixayuvanixalA kadi(V4)+xa_#_PRP+xayuvanu_xa_ABL+nixalA_nu_INTR
kadixayuvanixalU kadi(V4)+xa_#_PRP+xayuvanu_xa_ABL+nixalU_nu_INCL
kadixayuvanixalo kadi(V4)+xa_#_PRP+xayuvanu_xa_ABL+nixalo_nu_DUB
kadixayuvanixalo kadi(V4)+xa_#_PRP+xayuvanu_xa_ABL+nixalo_nu_INDF
kadixayuvanixalo kadi(V4)+xa_#_PRP+xayuvanu_xa_ABL+nixalo_nu_PRES
kadixayuvanixale kadi(V4)+xa_#_PRP+xayuvanu_xa_ABL+nixale_nu_IMPH
kadixayuvanixale kadi(V4)+xa_#_PRP+xayuvanu_xa_ABL+nixale_nu_DECL
kadixayuvanixale kadi(V4)+xa_#_PRP+xayuvanu_xa_ABL+nixale_nu_RIS
kadixayuvana kadi(V4)+xa_#_PRP+xayuvanu_xa_GEN+na_nu_3SM
kadixayuvanalli kadi(V4)+xa_#_PRP+xayuvanu_xa_LOC+nalli_nu_3SM
kadixayuvanalliyA kadi(V4)+xa_#_PRP+xayuvanu_xa_LOC+nalliyA_nu_INTR
kadixayuvanalliyU kadi(V4)+xa_#_PRP+xayuvanu_xa_LOC+nalliyU_nu_INCL
kadixayuvanalliyo kadi(V4)+xa_#_PRP+xayuvanu_xa_LOC+nalliyo_nu_DUB
kadixayuvanalliyo kadi(V4)+xa_#_PRP+xayuvanu_xa_LOC+nalliyo_nu_INDF
kadixayuvanalliyo kadi(V4)+xa_#_PRP+xayuvanu_xa_LOC+nalliyo_nu_PRES
kadixayuvanalliye kadi(V4)+xa_#_PRP+xayuvanu_xa_LOC+nalliye_nu_IMPH
kadixayuvanalliye kadi(V4)+xa_#_PRP+xayuvanu_xa_LOC+nalliye_nu_DECL
kadixayuvanalliye kadi(V4)+xa_#_PRP+xayuvanu_xa_LOC+nalliye_nu_RIS
kadixayuvanigoskara kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigoskara_nu_3SM
kadixayuvanigoskarayuva kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigoskarayuva_nu_INTR
kadixayuvanigoskaravU kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigoskaravU_nu_INCL
kadixayuvanigoskaravo kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigoskaravo_nu_DUB
kadixayuvanigoskaravo kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigoskaravo_nu_INDF
kadixayuvanigoskaravo kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigoskaravo_nu_PRES
kadixayuvanigoskarave kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigoskarave_nu_IMPH
kadixayuvanigoskarave kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigoskarave_nu_DECL
kadixayuvanigoskarave kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigoskarave_nu_RIS
kadixayuvanigoskara kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigoskara_nu_3SM
kadixayuvanigoskarayuva kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigoskarayuva_nu_INTR
kadixayuvanigoskaravU kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigoskaravU_nu_INCL
kadixayuvanigoskaravo kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigoskaravo_nu_DUB
kadixayuvanigoskaravo kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigoskaravo_nu_INDF
kadixayuvanigoskaravo kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigoskaravo_nu_PRES
kadixayuvanigoskarave kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigoskarave_nu_IMPH
kadixayuvanigoskarave kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigoskarave_nu_DECL
kadixayuvanigoskarave kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigoskarave_nu_RIS
kadixayuvanigAgi kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigAgi_nu_3SM
kadixayuvanigAgiyA kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigAgiyA_nu_INTR
kadixayuvanigAgiyU kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigAgiyU_nu_INCL
kadixayuvanigAgiyo kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigAgiyo_nu_DUB
kadixayuvanigAgiyo kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigAgiyo_nu_INDF
kadixayuvanigAgiyo kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigAgiyo_nu_PRES
kadixayuvanigAgiye kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigAgiye_nu_IMPH
kadixayuvanigAgiye kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigAgiye_nu_DECL
kadixayuvanigAgiye kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigAgiye_nu_RIS
kadixayuvanigAgi kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigAgi_nu_3SM
kadixayuvanigAgiyA kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigAgiyA_nu_INTR
kadixayuvanigAgiyU kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigAgiyU_nu_INCL
kadixayuvanigAgiyo kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigAgiyo_nu_DUB
kadixayuvanigAgiyo kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigAgiyo_nu_INDF
kadixayuvanigAgiyo kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigAgiyo_nu_PRES
kadixayuvanigAgiye kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigAgiye_nu_IMPH
kadixayuvanigAgiye kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigAgiye_nu_DECL
kadixayuvanigAgiye kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigAgiye_nu_RIS
kadixayuvanigosuga kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigosuga_nu_3SM
kadixayuvanigosugayuva kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigosugayuva_nu_INTR
kadixayuvanigosugavU kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigosugavU_nu_INCL
kadixayuvanigosugavo kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigosugavo_nu_DUB
kadixayuvanigosugavo kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigosugavo_nu_INDF
kadixayuvanigosugavo kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigosugavo_nu_PRES
kadixayuvanigosugave kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigosugave_nu_IMPH
kadixayuvanigosugave kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigosugave_nu_DECL
kadixayuvanigosugave kadi(V4)+xa_#_PRP+xayuvanu_xa_BEN+nigosugave_nu_RIS
kadixayuvanigosuga kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigosuga_nu_3SM
kadixayuvanigosugayuva kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigosugayuva_nu_INTR
kadixayuvanigosugavU kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigosugavU_nu_INCL
kadixayuvanigosugavo kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigosugavo_nu_DUB
kadixayuvanigosugavo kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigosugavo_nu_INDF
kadixayuvanigosugavo kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigosugavo_nu_PRES
kadixayuvanigosugave kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigosugave_nu_IMPH
kadixayuvanigosugave kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigosugave_nu_DECL
kadixayuvanigosugave kadi(V4)+xa_#_PRP+xayuvanu_xa_PUR+nigosugave_nu_RIS
kadixayuvanigixa kadi(V4)+xa_#_PRP+xayuvanu_xa_COMP+nigixa_nu_3SM
kadixayuvanigixalA kadi(V4)+xa_#_PRP+xayuvanu_xa_COMP+nigixalA_nu_INTR
kadixayuvanigixalU kadi(V4)+xa_#_PRP+xayuvanu_xa_COMP+nigixalU_nu_INCL
kadixayuvanigixalo kadi(V4)+xa_#_PRP+xayuvanu_xa_COMP+nigixalo_nu_DUB
kadixayuvanigixalo kadi(V4)+xa_#_PRP+xayuvanu_xa_COMP+nigixalo_nu_INDF
kadixayuvanigixalo kadi(V4)+xa_#_PRP+xayuvanu_xa_COMP+nigixalo_nu_PRES
kadixayuvanigixale kadi(V4)+xa_#_PRP+xayuvanu_xa_COMP+nigixale_nu_IMPH
kadixayuvanigixale kadi(V4)+xa_#_PRP+xayuvanu_xa_COMP+nigixale_nu_DECL
kadixayuvanigixale kadi(V4)+xa_#_PRP+xayuvanu_xa_COMP+nigixale_nu_RIS
kadixayuvanaxeV kadi(V4)+xa_#_PRP+xayuvanu_xa_SIM+naxeV_nu_3SM
kadixayuvanaxeVyA kadi(V4)+xa_#_PRP+xayuvanu_xa_SIM+naxeVyA_nu_INTR
kadixayuvanaxeVyU kadi(V4)+xa_#_PRP+xayuvanu_xa_SIM+naxeVyU_nu_INCL
kadixayuvanaxeVyo kadi(V4)+xa_#_PRP+xayuvanu_xa_SIM+naxeVyo_nu_DUB
kadixayuvanaxeVyo kadi(V4)+xa_#_PRP+xayuvanu_xa_SIM+naxeVyo_nu_INDF
kadixayuvanaxeVyo kadi(V4)+xa_#_PRP+xayuvanu_xa_SIM+naxeVyo_nu_PRES
kadixayuvanaxeVye kadi(V4)+xa_#_PRP+xayuvanu_xa_SIM+naxeVye_nu_IMPH
kadixayuvanaxeVye kadi(V4)+xa_#_PRP+xayuvanu_xa_SIM+naxeVye_nu_DECL
kadixayuvanaxeVye kadi(V4)+xa_#_PRP+xayuvanu_xa_SIM+naxeVye_nu_RIS
kadixayuvanoVdaneV kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVdaneV_nu_3SM
kadixayuvanoVdaneVyA kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVdaneVyA_nu_INTR
kadixayuvanoVdaneVyU kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVdaneVyU_nu_INCL
kadixayuvanoVdaneVyo kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVdaneVyo_nu_DUB
kadixayuvanoVdaneVyo kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVdaneVyo_nu_INDF
kadixayuvanoVdaneVyo kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVdaneVyo_nu_PRES
kadixayuvanoVdaneVye kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVdaneVye_nu_IMPH
kadixayuvanoVdaneVye kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVdaneVye_nu_DECL
kadixayuvanoVdaneVye kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVdaneVye_nu_RIS
kadixayuvanoVMxigeV kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVMxigeV_nu_3SM
kadixayuvanoVMxigeVyA kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVMxigeVyA_nu_INTR
kadixayuvanoVMxigeVyU kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVMxigeVyU_nu_INCL
kadixayuvanoVMxigeVyo kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVMxigeVyo_nu_DUB
kadixayuvanoVMxigeVyo kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVMxigeVyo_nu_INDF
kadixayuvanoVMxigeVyo kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVMxigeVyo_nu_PRES
kadixayuvanoVMxigeVye kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVMxigeVye_nu_IMPH
kadixayuvanoVMxigeVye kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVMxigeVye_nu_DECL
kadixayuvanoVMxigeVye kadi(V4)+xa_#_PRP+xayuvanu_xa_SOC+noVMxigeVye_nu_RIS
kadixayuvalYannu kadi(V4)+xa_#_PRP+xayuvalYu_xa_ACC+lYannu_lYu_3SF
kadixayuvalYannA kadi(V4)+xa_#_PRP+xayuvalYu_xa_ACC+lYannA_lYu_INTR
kadixayuvalYannU kadi(V4)+xa_#_PRP+xayuvalYu_xa_ACC+lYannU_lYu_INCL
kadixayuvalYanno kadi(V4)+xa_#_PRP+xayuvalYu_xa_ACC+lYanno_lYu_DUB
kadixayuvalYanno kadi(V4)+xa_#_PRP+xayuvalYu_xa_ACC+lYanno_lYu_INDF
kadixayuvalYanno kadi(V4)+xa_#_PRP+xayuvalYu_xa_ACC+lYanno_lYu_PRES
kadixayuvalYanne kadi(V4)+xa_#_PRP+xayuvalYu_xa_ACC+lYanne_lYu_IMPH
kadixayuvalYanne kadi(V4)+xa_#_PRP+xayuvalYu_xa_ACC+lYanne_lYu_DECL
kadixayuvalYanne kadi(V4)+xa_#_PRP+xayuvalYu_xa_ACC+lYanne_lYu_RIS
kadixayuvalYixa kadi(V4)+xa_#_PRP+xayuvalYu_xa_INS+lYixa_lYu_3SF
kadixayuvalYixalA kadi(V4)+xa_#_PRP+xayuvalYu_xa_INS+lYixalA_lYu_INTR
kadixayuvalYixalU kadi(V4)+xa_#_PRP+xayuvalYu_xa_INS+lYixalU_lYu_INCL
kadixayuvalYixalo kadi(V4)+xa_#_PRP+xayuvalYu_xa_INS+lYixalo_lYu_DUB
kadixayuvalYixalo kadi(V4)+xa_#_PRP+xayuvalYu_xa_INS+lYixalo_lYu_INDF
kadixayuvalYixalo kadi(V4)+xa_#_PRP+xayuvalYu_xa_INS+lYixalo_lYu_PRES
kadixayuvalYixale kadi(V4)+xa_#_PRP+xayuvalYu_xa_INS+lYixale_lYu_IMPH
kadixayuvalYixale kadi(V4)+xa_#_PRP+xayuvalYu_xa_INS+lYixale_lYu_DECL
kadixayuvalYixale kadi(V4)+xa_#_PRP+xayuvalYu_xa_INS+lYixale_lYu_RIS
kadixayuvalYigeV kadi(V4)+xa_#_PRP+xayuvalYu_xa_DAT+lYigeV_lYu_3SF
kadixayuvalYigeVyA kadi(V4)+xa_#_PRP+xayuvalYu_xa_DAT+lYigeVyA_lYu_INTR
kadixayuvalYigeVyU kadi(V4)+xa_#_PRP+xayuvalYu_xa_DAT+lYigeVyU_lYu_INCL
kadixayuvalYigeVyo kadi(V4)+xa_#_PRP+xayuvalYu_xa_DAT+lYigeVyo_lYu_DUB
kadixayuvalYigeVyo kadi(V4)+xa_#_PRP+xayuvalYu_xa_DAT+lYigeVyo_lYu_INDF
kadixayuvalYigeVyo kadi(V4)+xa_#_PRP+xayuvalYu_xa_DAT+lYigeVyo_lYu_PRES
kadixayuvalYigeVye kadi(V4)+xa_#_PRP+xayuvalYu_xa_DAT+lYigeVye_lYu_IMPH
kadixayuvalYigeVye kadi(V4)+xa_#_PRP+xayuvalYu_xa_DAT+lYigeVye_lYu_DECL
