kiwwanu kIlYu(V33)+iwwa_IlYu_PAST+anu_a_3SM   
kIlYuvavaroVdaneVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
kIlYuvavaroVdaneVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
kIlYuvavaroVdaneVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
kIlYuvavaroVMxigeV  kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
kIlYuvavaroVMxigeVyA kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
kIlYuvavaroVMxigeVyU kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
kIlYuvavaroVMxigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
kIlYuvavaroVMxigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
kIlYuvavaroVMxigeVyo kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
kIlYuvavaroVMxigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
kIlYuvavaroVMxigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
kIlYuvavaroVMxigeVye kIlYu(V33)+IlYuva_IlYu_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
kIlYuvuxannA kIlYu(V33)+IlYuvuxu_IlYu_ACC+xannA_xu_INTR
kIlYuvuxannU kIlYu(V33)+IlYuvuxu_IlYu_ACC+xannU_xu_INCL
kIlYuvuxanno kIlYu(V33)+IlYuvuxu_IlYu_ACC+xanno_xu_DUB
kIlYuvuxanno kIlYu(V33)+IlYuvuxu_IlYu_ACC+xanno_xu_INDF
kIlYuvuxanno kIlYu(V33)+IlYuvuxu_IlYu_ACC+xanno_xu_PRES
kIlYuvuxanne kIlYu(V33)+IlYuvuxu_IlYu_ACC+xanne_xu_IMPH
kIlYuvuxanne kIlYu(V33)+IlYuvuxu_IlYu_ACC+xanne_xu_DECL
kIlYuvuxanne kIlYu(V33)+IlYuvuxu_IlYu_ACC+xanne_xu_RIS
kIlYuvuxariMxalA kIlYu(V33)+IlYuvuxu_IlYu_INS+xariMxalA_xu_INTR
kIlYuvuxariMxalU kIlYu(V33)+IlYuvuxu_IlYu_INS+xariMxalU_xu_INCL
kIlYuvuxariMxalo kIlYu(V33)+IlYuvuxu_IlYu_INS+xariMxalo_xu_DUB
kIlYuvuxariMxalo kIlYu(V33)+IlYuvuxu_IlYu_INS+xariMxalo_xu_INDF
kIlYuvuxariMxalo kIlYu(V33)+IlYuvuxu_IlYu_INS+xariMxalo_xu_PRES
kIlYuvuxariMxale kIlYu(V33)+IlYuvuxu_IlYu_INS+xariMxale_xu_IMPH
kIlYuvuxariMxale kIlYu(V33)+IlYuvuxu_IlYu_INS+xariMxale_xu_DECL
kIlYuvuxariMxale kIlYu(V33)+IlYuvuxu_IlYu_INS+xariMxale_xu_RIS
kIlYuvuxakkeVyA kIlYu(V33)+IlYuvuxu_IlYu_DAT+xakkeVyA_xu_INTR
kIlYuvuxakkeVyU kIlYu(V33)+IlYuvuxu_IlYu_DAT+xakkeVyU_xu_INCL
kIlYuvuxakkeVyo kIlYu(V33)+IlYuvuxu_IlYu_DAT+xakkeVyo_xu_DUB
kIlYuvuxakkeVyo kIlYu(V33)+IlYuvuxu_IlYu_DAT+xakkeVyo_xu_INDF
kIlYuvuxakkeVyo kIlYu(V33)+IlYuvuxu_IlYu_DAT+xakkeVyo_xu_PRES
kIlYuvuxakkeVye kIlYu(V33)+IlYuvuxu_IlYu_DAT+xakkeVye_xu_IMPH
kIlYuvuxakkeVye kIlYu(V33)+IlYuvuxu_IlYu_DAT+xakkeVye_xu_DECL
kIlYuvuxakkeVye kIlYu(V33)+IlYuvuxu_IlYu_DAT+xakkeVye_xu_RIS
kIlYuvuxariMxalA kIlYu(V33)+IlYuvuxu_IlYu_ABL+xariMxalA_xu_INTR
kIlYuvuxariMxalU kIlYu(V33)+IlYuvuxu_IlYu_ABL+xariMxalU_xu_INCL
kIlYuvuxariMxalo kIlYu(V33)+IlYuvuxu_IlYu_ABL+xariMxalo_xu_DUB
kIlYuvuxariMxalo kIlYu(V33)+IlYuvuxu_IlYu_ABL+xariMxalo_xu_INDF
kIlYuvuxariMxalo kIlYu(V33)+IlYuvuxu_IlYu_ABL+xariMxalo_xu_PRES
kIlYuvuxariMxale kIlYu(V33)+IlYuvuxu_IlYu_ABL+xariMxale_xu_IMPH
kIlYuvuxariMxale kIlYu(V33)+IlYuvuxu_IlYu_ABL+xariMxale_xu_DECL
kIlYuvuxariMxale kIlYu(V33)+IlYuvuxu_IlYu_ABL+xariMxale_xu_RIS
kIlYuvuxaralliyA kIlYu(V33)+IlYuvuxu_IlYu_LOC+xaralliyA_xu_INTR
kIlYuvuxaralliyU kIlYu(V33)+IlYuvuxu_IlYu_LOC+xaralliyU_xu_INCL
kIlYuvuxaralliyo kIlYu(V33)+IlYuvuxu_IlYu_LOC+xaralliyo_xu_DUB
kIlYuvuxaralliyo kIlYu(V33)+IlYuvuxu_IlYu_LOC+xaralliyo_xu_INDF
kIlYuvuxaralliyo kIlYu(V33)+IlYuvuxu_IlYu_LOC+xaralliyo_xu_PRES
kIlYuvuxaralliye kIlYu(V33)+IlYuvuxu_IlYu_LOC+xaralliye_xu_IMPH
kIlYuvuxaralliye kIlYu(V33)+IlYuvuxu_IlYu_LOC+xaralliye_xu_DECL
kIlYuvuxaralliye kIlYu(V33)+IlYuvuxu_IlYu_LOC+xaralliye_xu_RIS
kIlYuvuxakkoskaravA kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkoskaravA_xu_INTR
kIlYuvuxakkoskaravU kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkoskaravU_xu_INCL
kIlYuvuxakkoskaravo kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkoskaravo_xu_DUB
kIlYuvuxakkoskaravo kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkoskaravo_xu_INDF
kIlYuvuxakkoskaravo kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkoskaravo_xu_PRES
kIlYuvuxakkoskarave kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkoskarave_xu_IMPH
kIlYuvuxakkoskarave kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkoskarave_xu_DECL
kIlYuvuxakkoskarave kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkoskarave_xu_RIS
kIlYuvuxakkoskaravA kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkoskaravA_xu_INTR
kIlYuvuxakkoskaravU kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkoskaravU_xu_INCL
kIlYuvuxakkoskaravo kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkoskaravo_xu_DUB
kIlYuvuxakkoskaravo kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkoskaravo_xu_INDF
kIlYuvuxakkoskaravo kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkoskaravo_xu_PRES
kIlYuvuxakkoskarave kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkoskarave_xu_IMPH
kIlYuvuxakkoskarave kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkoskarave_xu_DECL
kIlYuvuxakkoskarave kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkoskarave_xu_RIS
kIlYuvuxakkAgiyA kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkAgiyA_xu_INTR
kIlYuvuxakkAgiyU kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkAgiyU_xu_INCL
kIlYuvuxakkAgiyo kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkAgiyo_xu_DUB
kIlYuvuxakkAgiyo kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkAgiyo_xu_INDF
kIlYuvuxakkAgiyo kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkAgiyo_xu_PRES
kIlYuvuxakkAgiye kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkAgiye_xu_IMPH
kIlYuvuxakkAgiye kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkAgiye_xu_DECL
kIlYuvuxakkAgiye kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkAgiye_xu_RIS
kIlYuvuxakkAgiyA kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkAgiyA_xu_INTR
kIlYuvuxakkAgiyU kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkAgiyU_xu_INCL
kIlYuvuxakkAgiyo kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkAgiyo_xu_DUB
kIlYuvuxakkAgiyo kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkAgiyo_xu_INDF
kIlYuvuxakkAgiyo kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkAgiyo_xu_PRES
kIlYuvuxakkAgiye kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkAgiye_xu_IMPH
kIlYuvuxakkAgiye kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkAgiye_xu_DECL
kIlYuvuxakkAgiye kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkAgiye_xu_RIS
kIlYuvuxakkosugavA kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkosugavA_xu_INTR
kIlYuvuxakkosugavU kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkosugavU_xu_INCL
kIlYuvuxakkosugavo kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkosugavo_xu_DUB
kIlYuvuxakkosugavo kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkosugavo_xu_INDF
kIlYuvuxakkosugavo kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkosugavo_xu_PRES
kIlYuvuxakkosugave kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkosugave_xu_IMPH
kIlYuvuxakkosugave kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkosugave_xu_DECL
kIlYuvuxakkosugave kIlYu(V33)+IlYuvuxu_IlYu_BEN+xakkosugave_xu_RIS
kIlYuvuxakkosugavA kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkosugavA_xu_INTR
kIlYuvuxakkosugavU kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkosugavU_xu_INCL
kIlYuvuxakkosugavo kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkosugavo_xu_DUB
kIlYuvuxakkosugavo kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkosugavo_xu_INDF
kIlYuvuxakkosugavo kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkosugavo_xu_PRES
kIlYuvuxakkosugave kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkosugave_xu_IMPH
kIlYuvuxakkosugave kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkosugave_xu_DECL
kIlYuvuxakkosugave kIlYu(V33)+IlYuvuxu_IlYu_PUR+xakkosugave_xu_RIS
kIlYuvuxakkiMwalA kIlYu(V33)+IlYuvuxu_IlYu_COMP+xakkiMwalA_xu_INTR
kIlYuvuxakkiMwalU kIlYu(V33)+IlYuvuxu_IlYu_COMP+xakkiMwalU_xu_INCL
kIlYuvuxakkiMwalo kIlYu(V33)+IlYuvuxu_IlYu_COMP+xakkiMwalo_xu_DUB
kIlYuvuxakkiMwalo kIlYu(V33)+IlYuvuxu_IlYu_COMP+xakkiMwalo_xu_INDF
kIlYuvuxakkiMwalo kIlYu(V33)+IlYuvuxu_IlYu_COMP+xakkiMwalo_xu_PRES
kIlYuvuxakkiMwale kIlYu(V33)+IlYuvuxu_IlYu_COMP+xakkiMwale_xu_IMPH
kIlYuvuxakkiMwale kIlYu(V33)+IlYuvuxu_IlYu_COMP+xakkiMwale_xu_DECL
kIlYuvuxakkiMwale kIlYu(V33)+IlYuvuxu_IlYu_COMP+xakkiMwale_xu_RIS
kIlYuvaMweVyA kIlYu(V33)+IlYuva_IlYu_SIM+vaMweVyA_va_INTR
kIlYuvaMweVyU kIlYu(V33)+IlYuva_IlYu_SIM+vaMweVyU_va_INCL
kIlYuvaMweVyo kIlYu(V33)+IlYuva_IlYu_SIM+vaMweVyo_va_DUB
kIlYuvaMweVyo kIlYu(V33)+IlYuva_IlYu_SIM+vaMweVyo_va_INDF
kIlYuvaMweVyo kIlYu(V33)+IlYuva_IlYu_SIM+vaMweVyo_va_PRES
kIlYuvaMweVye kIlYu(V33)+IlYuva_IlYu_SIM+vaMweVye_va_IMPH
kIlYuvaMweVye kIlYu(V33)+IlYuva_IlYu_SIM+vaMweVye_va_DECL
kIlYuvaMweVye kIlYu(V33)+IlYuva_IlYu_SIM+vaMweVye_va_RIS
kIlYuvuxaroVMxigeVyA kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVMxigeVyA_xu_INTR
kIlYuvuxaroVMxigeVyU kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVMxigeVyU_xu_INCL
kIlYuvuxaroVMxigeVyo kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVMxigeVyo_xu_DUB
kIlYuvuxaroVMxigeVyo kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVMxigeVyo_xu_INDF
kIlYuvuxaroVMxigeVyo kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVMxigeVyo_xu_PRES
kIlYuvuxaroVMxigeVye kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVMxigeVye_xu_IMPH
kIlYuvuxaroVMxigeVye kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVMxigeVye_xu_DECL
kIlYuvuxaroVMxigeVye kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVMxigeVye_xu_RIS
kIlYuvuxaroVdaneVyA kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVdaneVyA_xu_INTR
kIlYuvuxaroVdaneVyU kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVdaneVyU_xu_INCL
kIlYuvuxaroVdaneVyo kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVdaneVyo_xu_DUB
kIlYuvuxaroVdaneVyo kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVdaneVyo_xu_INDF
kIlYuvuxaroVdaneVyo kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVdaneVyo_xu_PRES
kIlYuvuxaroVdaneVye kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVdaneVye_xu_IMPH
kIlYuvuxaroVdaneVye kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVdaneVye_xu_DECL
kIlYuvuxaroVdaneVye kIlYu(V33)+IlYuvuxu_IlYu_SOC+xaroVdaneVye_xu_RIS



