uwwanu ulYu(V1)+wwa_lYu_PAST+anu_a_3SM     
ulYuvuxakkoskaravA ulYu(V1)+lYuvuxu_lYu_BEN+xakkoskaravA_xu_INTR
ulYuvuxakkoskaravU ulYu(V1)+lYuvuxu_lYu_BEN+xakkoskaravU_xu_INCL
ulYuvuxakkoskaravo ulYu(V1)+lYuvuxu_lYu_BEN+xakkoskaravo_xu_DUB
ulYuvuxakkoskaravo ulYu(V1)+lYuvuxu_lYu_BEN+xakkoskaravo_xu_INDF
ulYuvuxakkoskaravo ulYu(V1)+lYuvuxu_lYu_BEN+xakkoskaravo_xu_PRES
ulYuvuxakkoskarave ulYu(V1)+lYuvuxu_lYu_BEN+xakkoskarave_xu_IMPH
ulYuvuxakkoskarave ulYu(V1)+lYuvuxu_lYu_BEN+xakkoskarave_xu_DECL
ulYuvuxakkoskarave ulYu(V1)+lYuvuxu_lYu_BEN+xakkoskarave_xu_RIS
ulYuvuxakkoskaravA ulYu(V1)+lYuvuxu_lYu_PUR+xakkoskaravA_xu_INTR
ulYuvuxakkoskaravU ulYu(V1)+lYuvuxu_lYu_PUR+xakkoskaravU_xu_INCL
ulYuvuxakkoskaravo ulYu(V1)+lYuvuxu_lYu_PUR+xakkoskaravo_xu_DUB
ulYuvuxakkoskaravo ulYu(V1)+lYuvuxu_lYu_PUR+xakkoskaravo_xu_INDF
ulYuvuxakkoskaravo ulYu(V1)+lYuvuxu_lYu_PUR+xakkoskaravo_xu_PRES
ulYuvuxakkoskarave ulYu(V1)+lYuvuxu_lYu_PUR+xakkoskarave_xu_IMPH
ulYuvuxakkoskarave ulYu(V1)+lYuvuxu_lYu_PUR+xakkoskarave_xu_DECL
ulYuvuxakkoskarave ulYu(V1)+lYuvuxu_lYu_PUR+xakkoskarave_xu_RIS
ulYuvuxakkAgiyA ulYu(V1)+lYuvuxu_lYu_BEN+xakkAgiyA_xu_INTR
ulYuvuxakkAgiyU ulYu(V1)+lYuvuxu_lYu_BEN+xakkAgiyU_xu_INCL
ulYuvuxakkAgiyo ulYu(V1)+lYuvuxu_lYu_BEN+xakkAgiyo_xu_DUB
ulYuvuxakkAgiyo ulYu(V1)+lYuvuxu_lYu_BEN+xakkAgiyo_xu_INDF
ulYuvuxakkAgiyo ulYu(V1)+lYuvuxu_lYu_BEN+xakkAgiyo_xu_PRES
ulYuvuxakkAgiye ulYu(V1)+lYuvuxu_lYu_BEN+xakkAgiye_xu_IMPH
ulYuvuxakkAgiye ulYu(V1)+lYuvuxu_lYu_BEN+xakkAgiye_xu_DECL
ulYuvuxakkAgiye ulYu(V1)+lYuvuxu_lYu_BEN+xakkAgiye_xu_RIS
ulYuvuxakkAgiyA ulYu(V1)+lYuvuxu_lYu_PUR+xakkAgiyA_xu_INTR
ulYuvuxakkAgiyU ulYu(V1)+lYuvuxu_lYu_PUR+xakkAgiyU_xu_INCL
ulYuvuxakkAgiyo ulYu(V1)+lYuvuxu_lYu_PUR+xakkAgiyo_xu_DUB
ulYuvuxakkAgiyo ulYu(V1)+lYuvuxu_lYu_PUR+xakkAgiyo_xu_INDF
ulYuvuxakkAgiyo ulYu(V1)+lYuvuxu_lYu_PUR+xakkAgiyo_xu_PRES
ulYuvuxakkAgiye ulYu(V1)+lYuvuxu_lYu_PUR+xakkAgiye_xu_IMPH
ulYuvuxakkAgiye ulYu(V1)+lYuvuxu_lYu_PUR+xakkAgiye_xu_DECL
ulYuvuxakkAgiye ulYu(V1)+lYuvuxu_lYu_PUR+xakkAgiye_xu_RIS
ulYuvuxakkosugavA ulYu(V1)+lYuvuxu_lYu_BEN+xakkosugavA_xu_INTR
ulYuvuxakkosugavU ulYu(V1)+lYuvuxu_lYu_BEN+xakkosugavU_xu_INCL
ulYuvuxakkosugavo ulYu(V1)+lYuvuxu_lYu_BEN+xakkosugavo_xu_DUB
ulYuvuxakkosugavo ulYu(V1)+lYuvuxu_lYu_BEN+xakkosugavo_xu_INDF
ulYuvuxakkosugavo ulYu(V1)+lYuvuxu_lYu_BEN+xakkosugavo_xu_PRES
ulYuvuxakkosugave ulYu(V1)+lYuvuxu_lYu_BEN+xakkosugave_xu_IMPH
ulYuvuxakkosugave ulYu(V1)+lYuvuxu_lYu_BEN+xakkosugave_xu_DECL
ulYuvuxakkosugave ulYu(V1)+lYuvuxu_lYu_BEN+xakkosugave_xu_RIS
ulYuvuxakkosugavA ulYu(V1)+lYuvuxu_lYu_PUR+xakkosugavA_xu_INTR
ulYuvuxakkosugavU ulYu(V1)+lYuvuxu_lYu_PUR+xakkosugavU_xu_INCL
ulYuvuxakkosugavo ulYu(V1)+lYuvuxu_lYu_PUR+xakkosugavo_xu_DUB
ulYuvuxakkosugavo ulYu(V1)+lYuvuxu_lYu_PUR+xakkosugavo_xu_INDF
ulYuvuxakkosugavo ulYu(V1)+lYuvuxu_lYu_PUR+xakkosugavo_xu_PRES
ulYuvuxakkosugave ulYu(V1)+lYuvuxu_lYu_PUR+xakkosugave_xu_IMPH
ulYuvuxakkosugave ulYu(V1)+lYuvuxu_lYu_PUR+xakkosugave_xu_DECL
ulYuvuxakkosugave ulYu(V1)+lYuvuxu_lYu_PUR+xakkosugave_xu_RIS
ulYuvuxakkiMwalA ulYu(V1)+lYuvuxu_lYu_COMP+xakkiMwalA_xu_INTR
ulYuvuxakkiMwalU ulYu(V1)+lYuvuxu_lYu_COMP+xakkiMwalU_xu_INCL
ulYuvuxakkiMwalo ulYu(V1)+lYuvuxu_lYu_COMP+xakkiMwalo_xu_DUB
ulYuvuxakkiMwalo ulYu(V1)+lYuvuxu_lYu_COMP+xakkiMwalo_xu_INDF
ulYuvuxakkiMwalo ulYu(V1)+lYuvuxu_lYu_COMP+xakkiMwalo_xu_PRES
ulYuvuxakkiMwale ulYu(V1)+lYuvuxu_lYu_COMP+xakkiMwale_xu_IMPH
ulYuvuxakkiMwale ulYu(V1)+lYuvuxu_lYu_COMP+xakkiMwale_xu_DECL
ulYuvuxakkiMwale ulYu(V1)+lYuvuxu_lYu_COMP+xakkiMwale_xu_RIS
ulYuvaMweVyA ulYu(V1)+lYuva_lYu_SIM+vaMweVyA_va_INTR
ulYuvaMweVyU ulYu(V1)+lYuva_lYu_SIM+vaMweVyU_va_INCL
ulYuvaMweVyo ulYu(V1)+lYuva_lYu_SIM+vaMweVyo_va_DUB
ulYuvaMweVyo ulYu(V1)+lYuva_lYu_SIM+vaMweVyo_va_INDF
ulYuvaMweVyo ulYu(V1)+lYuva_lYu_SIM+vaMweVyo_va_PRES
ulYuvaMweVye ulYu(V1)+lYuva_lYu_SIM+vaMweVye_va_IMPH
ulYuvaMweVye ulYu(V1)+lYuva_lYu_SIM+vaMweVye_va_DECL
ulYuvaMweVye ulYu(V1)+lYuva_lYu_SIM+vaMweVye_va_RIS
ulYuvuxaroVMxigeVyA ulYu(V1)+lYuvuxu_lYu_SOC+xaroVMxigeVyA_xu_INTR
ulYuvuxaroVMxigeVyU ulYu(V1)+lYuvuxu_lYu_SOC+xaroVMxigeVyU_xu_INCL
ulYuvuxaroVMxigeVyo ulYu(V1)+lYuvuxu_lYu_SOC+xaroVMxigeVyo_xu_DUB
ulYuvuxaroVMxigeVyo ulYu(V1)+lYuvuxu_lYu_SOC+xaroVMxigeVyo_xu_INDF
ulYuvuxaroVMxigeVyo ulYu(V1)+lYuvuxu_lYu_SOC+xaroVMxigeVyo_xu_PRES
ulYuvuxaroVMxigeVye ulYu(V1)+lYuvuxu_lYu_SOC+xaroVMxigeVye_xu_IMPH
ulYuvuxaroVMxigeVye ulYu(V1)+lYuvuxu_lYu_SOC+xaroVMxigeVye_xu_DECL
ulYuvuxaroVMxigeVye ulYu(V1)+lYuvuxu_lYu_SOC+xaroVMxigeVye_xu_RIS
ulYuvuxaroVdaneVyA ulYu(V1)+lYuvuxu_lYu_SOC+xaroVdaneVyA_xu_INTR
ulYuvuxaroVdaneVyU ulYu(V1)+lYuvuxu_lYu_SOC+xaroVdaneVyU_xu_INCL
ulYuvuxaroVdaneVyo ulYu(V1)+lYuvuxu_lYu_SOC+xaroVdaneVyo_xu_DUB
ulYuvuxaroVdaneVyo ulYu(V1)+lYuvuxu_lYu_SOC+xaroVdaneVyo_xu_INDF
ulYuvuxaroVdaneVyo ulYu(V1)+lYuvuxu_lYu_SOC+xaroVdaneVyo_xu_PRES
ulYuvuxaroVdaneVye ulYu(V1)+lYuvuxu_lYu_SOC+xaroVdaneVye_xu_IMPH
ulYuvuxaroVdaneVye ulYu(V1)+lYuvuxu_lYu_SOC+xaroVdaneVye_xu_DECL
ulYuvuxaroVdaneVye ulYu(V1)+lYuvuxu_lYu_SOC+xaroVdaneVye_xu_RIS



