oVNagisixanu oVNagisu(V34)+ixa_u_PAST+anu_a_3SM   
oVNagisuvuxaralliyA oVNagisu(V34)+vuxu_#_LOC+xaralliyA_xu_INTR
oVNagisuvuxaralliyU oVNagisu(V34)+vuxu_#_LOC+xaralliyU_xu_INCL
oVNagisuvuxaralliyo oVNagisu(V34)+vuxu_#_LOC+xaralliyo_xu_DUB
oVNagisuvuxaralliyo oVNagisu(V34)+vuxu_#_LOC+xaralliyo_xu_INDF
oVNagisuvuxaralliyo oVNagisu(V34)+vuxu_#_LOC+xaralliyo_xu_PRES
oVNagisuvuxaralliye oVNagisu(V34)+vuxu_#_LOC+xaralliye_xu_IMPH
oVNagisuvuxaralliye oVNagisu(V34)+vuxu_#_LOC+xaralliye_xu_DECL
oVNagisuvuxaralliye oVNagisu(V34)+vuxu_#_LOC+xaralliye_xu_RIS
oVNagisuvuxakkoskaravA oVNagisu(V34)+vuxu_#_BEN+xakkoskaravA_xu_INTR
oVNagisuvuxakkoskaravU oVNagisu(V34)+vuxu_#_BEN+xakkoskaravU_xu_INCL
oVNagisuvuxakkoskaravo oVNagisu(V34)+vuxu_#_BEN+xakkoskaravo_xu_DUB
oVNagisuvuxakkoskaravo oVNagisu(V34)+vuxu_#_BEN+xakkoskaravo_xu_INDF
oVNagisuvuxakkoskaravo oVNagisu(V34)+vuxu_#_BEN+xakkoskaravo_xu_PRES
oVNagisuvuxakkoskarave oVNagisu(V34)+vuxu_#_BEN+xakkoskarave_xu_IMPH
oVNagisuvuxakkoskarave oVNagisu(V34)+vuxu_#_BEN+xakkoskarave_xu_DECL
oVNagisuvuxakkoskarave oVNagisu(V34)+vuxu_#_BEN+xakkoskarave_xu_RIS
oVNagisuvuxakkoskaravA oVNagisu(V34)+vuxu_#_PUR+xakkoskaravA_xu_INTR
oVNagisuvuxakkoskaravU oVNagisu(V34)+vuxu_#_PUR+xakkoskaravU_xu_INCL
oVNagisuvuxakkoskaravo oVNagisu(V34)+vuxu_#_PUR+xakkoskaravo_xu_DUB
oVNagisuvuxakkoskaravo oVNagisu(V34)+vuxu_#_PUR+xakkoskaravo_xu_INDF
oVNagisuvuxakkoskaravo oVNagisu(V34)+vuxu_#_PUR+xakkoskaravo_xu_PRES
oVNagisuvuxakkoskarave oVNagisu(V34)+vuxu_#_PUR+xakkoskarave_xu_IMPH
oVNagisuvuxakkoskarave oVNagisu(V34)+vuxu_#_PUR+xakkoskarave_xu_DECL
oVNagisuvuxakkoskarave oVNagisu(V34)+vuxu_#_PUR+xakkoskarave_xu_RIS
oVNagisuvuxaixagiyA oVNagisu(V34)+vuxu_#_BEN+xaixagiyA_xu_INTR
oVNagisuvuxaixagiyU oVNagisu(V34)+vuxu_#_BEN+xaixagiyU_xu_INCL
oVNagisuvuxaixagiyo oVNagisu(V34)+vuxu_#_BEN+xaixagiyo_xu_DUB
oVNagisuvuxaixagiyo oVNagisu(V34)+vuxu_#_BEN+xaixagiyo_xu_INDF
oVNagisuvuxaixagiyo oVNagisu(V34)+vuxu_#_BEN+xaixagiyo_xu_PRES
oVNagisuvuxaixagiye oVNagisu(V34)+vuxu_#_BEN+xaixagiye_xu_IMPH
oVNagisuvuxaixagiye oVNagisu(V34)+vuxu_#_BEN+xaixagiye_xu_DECL
oVNagisuvuxaixagiye oVNagisu(V34)+vuxu_#_BEN+xaixagiye_xu_RIS
oVNagisuvuxaixagiyA oVNagisu(V34)+vuxu_#_PUR+xaixagiyA_xu_INTR
oVNagisuvuxaixagiyU oVNagisu(V34)+vuxu_#_PUR+xaixagiyU_xu_INCL
oVNagisuvuxaixagiyo oVNagisu(V34)+vuxu_#_PUR+xaixagiyo_xu_DUB
oVNagisuvuxaixagiyo oVNagisu(V34)+vuxu_#_PUR+xaixagiyo_xu_INDF
oVNagisuvuxaixagiyo oVNagisu(V34)+vuxu_#_PUR+xaixagiyo_xu_PRES
oVNagisuvuxaixagiye oVNagisu(V34)+vuxu_#_PUR+xaixagiye_xu_IMPH
oVNagisuvuxaixagiye oVNagisu(V34)+vuxu_#_PUR+xaixagiye_xu_DECL
oVNagisuvuxaixagiye oVNagisu(V34)+vuxu_#_PUR+xaixagiye_xu_RIS
oVNagisuvuxakkosugavA oVNagisu(V34)+vuxu_#_BEN+xakkosugavA_xu_INTR
oVNagisuvuxakkosugavU oVNagisu(V34)+vuxu_#_BEN+xakkosugavU_xu_INCL
oVNagisuvuxakkosugavo oVNagisu(V34)+vuxu_#_BEN+xakkosugavo_xu_DUB
oVNagisuvuxakkosugavo oVNagisu(V34)+vuxu_#_BEN+xakkosugavo_xu_INDF
oVNagisuvuxakkosugavo oVNagisu(V34)+vuxu_#_BEN+xakkosugavo_xu_PRES
oVNagisuvuxakkosugave oVNagisu(V34)+vuxu_#_BEN+xakkosugave_xu_IMPH
oVNagisuvuxakkosugave oVNagisu(V34)+vuxu_#_BEN+xakkosugave_xu_DECL
oVNagisuvuxakkosugave oVNagisu(V34)+vuxu_#_BEN+xakkosugave_xu_RIS
oVNagisuvuxakkosugavA oVNagisu(V34)+vuxu_#_PUR+xakkosugavA_xu_INTR
oVNagisuvuxakkosugavU oVNagisu(V34)+vuxu_#_PUR+xakkosugavU_xu_INCL
oVNagisuvuxakkosugavo oVNagisu(V34)+vuxu_#_PUR+xakkosugavo_xu_DUB
oVNagisuvuxakkosugavo oVNagisu(V34)+vuxu_#_PUR+xakkosugavo_xu_PRES
oVNagisuvuxakkosugave oVNagisu(V34)+vuxu_#_PUR+xakkosugave_xu_IMPH
oVNagisuvuxakkosugave oVNagisu(V34)+vuxu_#_PUR+xakkosugave_xu_DECL
oVNagisuvuxakkosugave oVNagisu(V34)+vuxu_#_PUR+xakkosugave_xu_RIS
oVNagisuvuxakkiMwalA oVNagisu(V34)+vuxu_#_COMP+xakkiMwalA_xu_INTR
oVNagisuvuxakkiMwalU oVNagisu(V34)+vuxu_#_COMP+xakkiMwalU_xu_INCL
oVNagisuvuxakkiMwalo oVNagisu(V34)+vuxu_#_COMP+xakkiMwalo_xu_DUB
oVNagisuvuxakkiMwalo oVNagisu(V34)+vuxu_#_COMP+xakkiMwalo_xu_INDF
oVNagisuvuxakkiMwalo oVNagisu(V34)+vuxu_#_COMP+xakkiMwalo_xu_PRES
oVNagisuvuxakkiMwale oVNagisu(V34)+vuxu_#_COMP+xakkiMwale_xu_IMPH
oVNagisuvuxakkiMwale oVNagisu(V34)+vuxu_#_COMP+xakkiMwale_xu_DECL
oVNagisuvuxakkiMwale oVNagisu(V34)+vuxu_#_COMP+xakkiMwale_xu_RIS
oVNagisuvaMweVyA oVNagisu(V34)+va_#_SIM+vaMweVyA_va_INTR
oVNagisuvaMweVyU oVNagisu(V34)+va_#_SIM+vaMweVyU_va_INCL
oVNagisuvaMweVyo oVNagisu(V34)+va_#_SIM+vaMweVyo_va_DUB
oVNagisuvaMweVyo oVNagisu(V34)+va_#_SIM+vaMweVyo_va_INDF
oVNagisuvaMweVyo oVNagisu(V34)+va_#_SIM+vaMweVyo_va_PRES
oVNagisuvaMweVye oVNagisu(V34)+va_#_SIM+vaMweVye_va_IMPH
oVNagisuvaMweVye oVNagisu(V34)+va_#_SIM+vaMweVye_va_DECL
oVNagisuvaMweVye oVNagisu(V34)+va_#_SIM+vaMweVye_va_RIS
oVNagisuvuxaroVMxigeVyA oVNagisu(V34)+vuxu_#_SOC+xaroVMxigeVyA_xu_INTR
oVNagisuvuxaroVMxigeVyU oVNagisu(V34)+vuxu_#_SOC+xaroVMxigeVyU_xu_INCL
oVNagisuvuxaroVMxigeVyo oVNagisu(V34)+vuxu_#_SOC+xaroVMxigeVyo_xu_DUB
oVNagisuvuxaroVMxigeVyo oVNagisu(V34)+vuxu_#_SOC+xaroVMxigeVyo_xu_INDF
oVNagisuvuxaroVMxigeVyo oVNagisu(V34)+vuxu_#_SOC+xaroVMxigeVyo_xu_PRES
oVNagisuvuxaroVMxigeVye oVNagisu(V34)+vuxu_#_SOC+xaroVMxigeVye_xu_IMPH
oVNagisuvuxaroVMxigeVye oVNagisu(V34)+vuxu_#_SOC+xaroVMxigeVye_xu_DECL
oVNagisuvuxaroVMxigeVye oVNagisu(V34)+vuxu_#_SOC+xaroVMxigeVye_xu_RIS
oVNagisuvuxaroVdaneVyA oVNagisu(V34)+vuxu_#_SOC+xaroVdaneVyA_xu_INTR
oVNagisuvuxaroVdaneVyU oVNagisu(V34)+vuxu_#_SOC+xaroVdaneVyU_xu_INCL
oVNagisuvuxaroVdaneVyo oVNagisu(V34)+vuxu_#_SOC+xaroVdaneVyo_xu_DUB
oVNagisuvuxaroVdaneVyo oVNagisu(V34)+vuxu_#_SOC+xaroVdaneVyo_xu_INDF
oVNagisuvuxaroVdaneVyo oVNagisu(V34)+vuxu_#_SOC+xaroVdaneVyo_xu_PRES
oVNagisuvuxaroVdaneVye oVNagisu(V34)+vuxu_#_SOC+xaroVdaneVye_xu_IMPH
oVNagisuvuxaroVdaneVye oVNagisu(V34)+vuxu_#_SOC+xaroVdaneVye_xu_DECL
oVNagisuvuxaroVdaneVye oVNagisu(V34)+vuxu_#_SOC+xaroVdaneVye_xu_RIS


oVNagisixavanannu oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannu_nu_3SM
oVNagisixavanannA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannA_nu_INTR
oVNagisixavanannU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nannU_nu_INCL
oVNagisixavananno oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_DUB
oVNagisixavananno oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_INDF
oVNagisixavananno oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanno_nu_PRES
oVNagisixavananne oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_IMPH
oVNagisixavananne oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_DECL
oVNagisixavananne oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ACC+nanne_nu_RIS
oVNagisixavaniMxa oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxa_nu_3SM
oVNagisixavaniMxalA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalA_nu_INTR
oVNagisixavaniMxalU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalU_nu_INCL
oVNagisixavaniMxalo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_DUB
oVNagisixavaniMxalo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_INDF
oVNagisixavaniMxalo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxalo_nu_PRES
oVNagisixavaniMxale oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_IMPH
oVNagisixavaniMxale oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_DECL
oVNagisixavaniMxale oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_INS+niMxale_nu_RIS
oVNagisixavanalligeV oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeV_nu_3SM
oVNagisixavanalligeVyA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyA_nu_INTR
oVNagisixavanalligeVyU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyU_nu_INCL
oVNagisixavanalligeVyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_DUB
oVNagisixavanalligeVyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_INDF
oVNagisixavanalligeVyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVyo_nu_PRES
oVNagisixavanalligeVye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_IMPH
oVNagisixavanalligeVye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_DECL
oVNagisixavanalligeVye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_DAT+nalligeVye_nu_RIS
oVNagisixavaniMxa  oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxa_nu_3SM
oVNagisixavaniMxalA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalA_nu_INTR
oVNagisixavaniMxalU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalU_nu_INCL
oVNagisixavaniMxalo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_DUB
oVNagisixavaniMxalo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_INDF
oVNagisixavaniMxalo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxalo_nu_PRES
oVNagisixavaniMxale oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_IMPH
oVNagisixavaniMxale oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_DECL
oVNagisixavaniMxale oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_ABL+niMxale_nu_RIS
oVNagisixavana oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_GEN+na_nu_3SM
oVNagisixavanalli oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalli_nu_3SM
oVNagisixavanalliyA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyA_nu_INTR
oVNagisixavanalliyU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyU_nu_INCL
oVNagisixavanalliyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_DUB
oVNagisixavanalliyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_INDF
oVNagisixavanalliyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliyo_nu_PRES
oVNagisixavanalliye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_IMPH
oVNagisixavanalliye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_DECL
oVNagisixavanalliye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_LOC+nalliye_nu_RIS
oVNagisixavanigoskara oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskara_nu_3SM
oVNagisixavanigoskaravA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravA_nu_INTR
oVNagisixavanigoskaravU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravU_nu_INCL
oVNagisixavanigoskaravo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_DUB
oVNagisixavanigoskaravo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_INDF
oVNagisixavanigoskaravo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskaravo_nu_PRES
oVNagisixavanigoskarave oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_IMPH
oVNagisixavanigoskarave oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_DECL
oVNagisixavanigoskarave oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigoskarave_nu_RIS
oVNagisixavanigoskara oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskara_nu_3SM
oVNagisixavanigoskaravA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravA_nu_INTR
oVNagisixavanigoskaravU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravU_nu_INCL
oVNagisixavanigoskaravo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_DUB
oVNagisixavanigoskaravo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_INDF
oVNagisixavanigoskaravo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskaravo_nu_PRES
oVNagisixavanigoskarave oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_IMPH
oVNagisixavanigoskarave oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_DECL
oVNagisixavanigoskarave oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigoskarave_nu_RIS
oVNagisixavanigAgi oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgi_nu_3SM
oVNagisixavanigAgiyA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyA_nu_INTR
oVNagisixavanigAgiyU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyU_nu_INCL
oVNagisixavanigAgiyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_DUB
oVNagisixavanigAgiyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_INDF
oVNagisixavanigAgiyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiyo_nu_PRES
oVNagisixavanigAgiye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_IMPH
oVNagisixavanigAgiye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_DECL
oVNagisixavanigAgiye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigAgiye_nu_RIS
oVNagisixavanigAgi oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgi_nu_3SM
oVNagisixavanigAgiyA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyA_nu_INTR
oVNagisixavanigAgiyU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyU_nu_INCL
oVNagisixavanigAgiyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_DUB
oVNagisixavanigAgiyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_INDF
oVNagisixavanigAgiyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiyo_nu_PRES
oVNagisixavanigAgiye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_IMPH
oVNagisixavanigAgiye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_DECL
oVNagisixavanigAgiye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigAgiye_nu_RIS
oVNagisixavanigosuga oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosuga_nu_3SM
oVNagisixavanigosugavA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavA_nu_INTR
oVNagisixavanigosugavU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavU_nu_INCL
oVNagisixavanigosugavo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_DUB
oVNagisixavanigosugavo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_INDF
oVNagisixavanigosugavo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugavo_nu_PRES
oVNagisixavanigosugave oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_IMPH
oVNagisixavanigosugave oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_DECL
oVNagisixavanigosugave oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_BEN+nigosugave_nu_RIS
oVNagisixavanigosuga oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosuga_nu_3SM
oVNagisixavanigosugavA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavA_nu_INTR
oVNagisixavanigosugavU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavU_nu_INCL
oVNagisixavanigosugavo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_DUB
oVNagisixavanigosugavo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_INDF
oVNagisixavanigosugavo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugavo_nu_PRES
oVNagisixavanigosugave oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_IMPH
oVNagisixavanigosugave oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_DECL
oVNagisixavanigosugave oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_PUR+nigosugave_nu_RIS
oVNagisixavanigiMwa oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwa_nu_3SM
oVNagisixavanigiMwalA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalA_nu_INTR
oVNagisixavanigiMwalU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalU_nu_INCL
oVNagisixavanigiMwalo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_DUB
oVNagisixavanigiMwalo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_INDF
oVNagisixavanigiMwalo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwalo_nu_PRES
oVNagisixavanigiMwale oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_IMPH
oVNagisixavanigiMwale oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_DECL
oVNagisixavanigiMwale oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_COMP+nigiMwale_nu_RIS
oVNagisixavanaxeV oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeV_nu_3SM
oVNagisixavanaxeVyA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyA_nu_INTR
oVNagisixavanaxeVyU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyU_nu_DUB
oVNagisixavanaxeVyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyo_nu_INDF
oVNagisixavanaxeVyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVyo_nu_PRES
oVNagisixavanaxeVye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_IMPH
oVNagisixavanaxeVye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_DECL
oVNagisixavanaxeVye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SIM+naxeVye_nu_RIS
oVNagisixavanoVdaneV oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneV_nu_3SM
oVNagisixavanoVdaneVyA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyA_nu_INTR
oVNagisixavanoVdaneVyU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyU_nu_INCL
oVNagisixavanoVdaneVyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_DUB
oVNagisixavanoVdaneVyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_INDF
oVNagisixavanoVdaneVyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVyo_nu_PRES
oVNagisixavanoVdaneVye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_IMPH
oVNagisixavanoVdaneVye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_DECL
oVNagisixavanoVdaneVye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVdaneVye_nu_RIS
oVNagisixavanoVMxigeV oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeV_nu_3SM
oVNagisixavanoVMxigeVyA oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyA_nu_INTR
oVNagisixavanoVMxigeVyU oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyU_nu_INCL
oVNagisixavanoVMxigeVyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_DUB
oVNagisixavanoVMxigeVyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_INDF
oVNagisixavanoVMxigeVyo oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVyo_nu_PRES
oVNagisixavanoVMxigeVye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_IMPH
oVNagisixavanoVMxigeVye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_DECL
oVNagisixavanoVMxigeVye oVNagisu(V4)+ixa_u_PRP+ixavanu_ixa_SOC+noVMxigeVye_nu_RIS
oVNagisixavalYannu oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannu_lYu_3SF
oVNagisixavalYannA oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannA_lYu_INTR
oVNagisixavalYannU oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYannU_lYu_INCL
oVNagisixavalYanno oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_DUB
oVNagisixavalYanno oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_INDF
oVNagisixavalYanno oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanno_lYu_PRES
oVNagisixavalYanne oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_IMPH
oVNagisixavalYanne oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_DECL
oVNagisixavalYanne oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_ACC+lYanne_lYu_RIS
oVNagisixavalYiMxa oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxa_lYu_3SF
oVNagisixavalYiMxalA oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalA_lYu_INTR
oVNagisixavalYiMxalU oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalU_lYu_INCL
oVNagisixavalYiMxalo oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_DUB
oVNagisixavalYiMxalo oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_INDF
oVNagisixavalYiMxalo oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxalo_lYu_PRES
oVNagisixavalYiMxale oVNagisu(V4)+ixa_u_PRP+ixavalYu_ixa_INS+lYiMxale_lYu_IMPH
