kEgoVMdanu kEgoVlYlYu(V32)+Mda_lYlYu_PAST+anu_a_3SM   
kEgoVlYlYuvavarigoskaravU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
kEgoVlYlYuvavarigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
kEgoVlYlYuvavarigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
kEgoVlYlYuvavarigoskaravo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
kEgoVlYlYuvavarigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
kEgoVlYlYuvavarigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
kEgoVlYlYuvavarigoskarave kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
kEgoVlYlYuvavarigAgi kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgi_ru_3P
kEgoVlYlYuvavarigAgiyA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
kEgoVlYlYuvavarigAgiyU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
kEgoVlYlYuvavarigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
kEgoVlYlYuvavarigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
kEgoVlYlYuvavarigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
kEgoVlYlYuvavarigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
kEgoVlYlYuvavarigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
kEgoVlYlYuvavarigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
kEgoVlYlYuvavarigAgi kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigAgi_ru_3P
kEgoVlYlYuvavarigAgiyA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
kEgoVlYlYuvavarigAgiyU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
kEgoVlYlYuvavarigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
kEgoVlYlYuvavarigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
kEgoVlYlYuvavarigAgiyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
kEgoVlYlYuvavarigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
kEgoVlYlYuvavarigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
kEgoVlYlYuvavarigAgiye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
kEgoVlYlYuvavarigosuga kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigosuga_ru_3P
kEgoVlYlYuvavarigosugavA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
kEgoVlYlYuvavarigosugavU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
kEgoVlYlYuvavarigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
kEgoVlYlYuvavarigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
kEgoVlYlYuvavarigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
kEgoVlYlYuvavarigosugave kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
kEgoVlYlYuvavarigosugave kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_DECL
kEgoVlYlYuvavarigosugave kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_BEN+rigosugave_ru_RIS
kEgoVlYlYuvavarigosuga kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigosuga_ru_3P
kEgoVlYlYuvavarigosugavA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
kEgoVlYlYuvavarigosugavU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
kEgoVlYlYuvavarigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
kEgoVlYlYuvavarigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
kEgoVlYlYuvavarigosugavo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
kEgoVlYlYuvavarigosugave kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
kEgoVlYlYuvavarigosugave kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_DECL
kEgoVlYlYuvavarigosugave kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_PUR+rigosugave_ru_RIS
kEgoVlYlYuvavarigiMwa kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_COMP+rigiMwa_ru_3P
kEgoVlYlYuvavarigiMwalA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
kEgoVlYlYuvavarigiMwalU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
kEgoVlYlYuvavarigiMwalo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
kEgoVlYlYuvavarigiMwalo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
kEgoVlYlYuvavarigiMwalo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
kEgoVlYlYuvavarigiMwale kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
kEgoVlYlYuvavarigiMwale kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
kEgoVlYlYuvavarigiMwale kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
kEgoVlYlYuvavaraMweV kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SIM+raMweV_ru_3P
kEgoVlYlYuvavaraMweVyA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
kEgoVlYlYuvavaraMweVyU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
kEgoVlYlYuvavaraMweVyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
kEgoVlYlYuvavaraMweVyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
kEgoVlYlYuvavaraMweVyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
kEgoVlYlYuvavaraMweVye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
kEgoVlYlYuvavaraMweVye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_DECL
kEgoVlYlYuvavaraMweVye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SIM+raMweVye_ru_RIS
kEgoVlYlYuvavaroVdaneV kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVdaneV_ru_3P
kEgoVlYlYuvavaroVdaneVyA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
kEgoVlYlYuvavaroVdaneVyU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
kEgoVlYlYuvavaroVdaneVyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
kEgoVlYlYuvavaroVdaneVyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
kEgoVlYlYuvavaroVdaneVyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
kEgoVlYlYuvavaroVdaneVye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
kEgoVlYlYuvavaroVdaneVye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
kEgoVlYlYuvavaroVdaneVye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
kEgoVlYlYuvavaroVMxigeV  kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
kEgoVlYlYuvavaroVMxigeVyA kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
kEgoVlYlYuvavaroVMxigeVyU kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
kEgoVlYlYuvavaroVMxigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
kEgoVlYlYuvavaroVMxigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
kEgoVlYlYuvavaroVMxigeVyo kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
kEgoVlYlYuvavaroVMxigeVye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
kEgoVlYlYuvavaroVMxigeVye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
kEgoVlYlYuvavaroVMxigeVye kEgoVlYlYu(V32)+va_#_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
kEgoVlYlYuvuxannA kEgoVlYlYu(V32)+vuxu_#_ACC+xannA_xu_INTR
kEgoVlYlYuvuxannU kEgoVlYlYu(V32)+vuxu_#_ACC+xannU_xu_INCL
kEgoVlYlYuvuxanno kEgoVlYlYu(V32)+vuxu_#_ACC+xanno_xu_DUB
kEgoVlYlYuvuxanno kEgoVlYlYu(V32)+vuxu_#_ACC+xanno_xu_INDF
kEgoVlYlYuvuxanno kEgoVlYlYu(V32)+vuxu_#_ACC+xanno_xu_PRES
kEgoVlYlYuvuxanne kEgoVlYlYu(V32)+vuxu_#_ACC+xanne_xu_IMPH
kEgoVlYlYuvuxanne kEgoVlYlYu(V32)+vuxu_#_ACC+xanne_xu_DECL
kEgoVlYlYuvuxanne kEgoVlYlYu(V32)+vuxu_#_ACC+xanne_xu_RIS
kEgoVlYlYuvuxariMxalA kEgoVlYlYu(V32)+vuxu_#_INS+xariMxalA_xu_INTR
kEgoVlYlYuvuxariMxalU kEgoVlYlYu(V32)+vuxu_#_INS+xariMxalU_xu_INCL
kEgoVlYlYuvuxariMxalo kEgoVlYlYu(V32)+vuxu_#_INS+xariMxalo_xu_DUB
kEgoVlYlYuvuxariMxalo kEgoVlYlYu(V32)+vuxu_#_INS+xariMxalo_xu_INDF
kEgoVlYlYuvuxariMxalo kEgoVlYlYu(V32)+vuxu_#_INS+xariMxalo_xu_PRES
kEgoVlYlYuvuxariMxale kEgoVlYlYu(V32)+vuxu_#_INS+xariMxale_xu_IMPH
kEgoVlYlYuvuxariMxale kEgoVlYlYu(V32)+vuxu_#_INS+xariMxale_xu_DECL
kEgoVlYlYuvuxariMxale kEgoVlYlYu(V32)+vuxu_#_INS+xariMxale_xu_RIS
kEgoVlYlYuvuxakkeVyA kEgoVlYlYu(V32)+vuxu_#_DAT+xakkeVyA_xu_INTR
kEgoVlYlYuvuxakkeVyU kEgoVlYlYu(V32)+vuxu_#_DAT+xakkeVyU_xu_INCL
kEgoVlYlYuvuxakkeVyo kEgoVlYlYu(V32)+vuxu_#_DAT+xakkeVyo_xu_DUB
kEgoVlYlYuvuxakkeVyo kEgoVlYlYu(V32)+vuxu_#_DAT+xakkeVyo_xu_INDF
kEgoVlYlYuvuxakkeVyo kEgoVlYlYu(V32)+vuxu_#_DAT+xakkeVyo_xu_PRES
kEgoVlYlYuvuxakkeVye kEgoVlYlYu(V32)+vuxu_#_DAT+xakkeVye_xu_IMPH
kEgoVlYlYuvuxakkeVye kEgoVlYlYu(V32)+vuxu_#_DAT+xakkeVye_xu_DECL
kEgoVlYlYuvuxakkeVye kEgoVlYlYu(V32)+vuxu_#_DAT+xakkeVye_xu_RIS
kEgoVlYlYuvuxariMxalA kEgoVlYlYu(V32)+vuxu_#_ABL+xariMxalA_xu_INTR
kEgoVlYlYuvuxariMxalU kEgoVlYlYu(V32)+vuxu_#_ABL+xariMxalU_xu_INCL
kEgoVlYlYuvuxariMxalo kEgoVlYlYu(V32)+vuxu_#_ABL+xariMxalo_xu_DUB
kEgoVlYlYuvuxariMxalo kEgoVlYlYu(V32)+vuxu_#_ABL+xariMxalo_xu_INDF
kEgoVlYlYuvuxariMxalo kEgoVlYlYu(V32)+vuxu_#_ABL+xariMxalo_xu_PRES
kEgoVlYlYuvuxariMxale kEgoVlYlYu(V32)+vuxu_#_ABL+xariMxale_xu_IMPH
kEgoVlYlYuvuxariMxale kEgoVlYlYu(V32)+vuxu_#_ABL+xariMxale_xu_DECL
kEgoVlYlYuvuxariMxale kEgoVlYlYu(V32)+vuxu_#_ABL+xariMxale_xu_RIS
kEgoVlYlYuvuxaralliyA kEgoVlYlYu(V32)+vuxu_#_LOC+xaralliyA_xu_INTR
kEgoVlYlYuvuxaralliyU kEgoVlYlYu(V32)+vuxu_#_LOC+xaralliyU_xu_INCL
kEgoVlYlYuvuxaralliyo kEgoVlYlYu(V32)+vuxu_#_LOC+xaralliyo_xu_DUB
kEgoVlYlYuvuxaralliyo kEgoVlYlYu(V32)+vuxu_#_LOC+xaralliyo_xu_INDF
kEgoVlYlYuvuxaralliyo kEgoVlYlYu(V32)+vuxu_#_LOC+xaralliyo_xu_PRES
kEgoVlYlYuvuxaralliye kEgoVlYlYu(V32)+vuxu_#_LOC+xaralliye_xu_IMPH
kEgoVlYlYuvuxaralliye kEgoVlYlYu(V32)+vuxu_#_LOC+xaralliye_xu_DECL
kEgoVlYlYuvuxaralliye kEgoVlYlYu(V32)+vuxu_#_LOC+xaralliye_xu_RIS
kEgoVlYlYuvuxakkoskaravA kEgoVlYlYu(V32)+vuxu_#_BEN+xakkoskaravA_xu_INTR
kEgoVlYlYuvuxakkoskaravU kEgoVlYlYu(V32)+vuxu_#_BEN+xakkoskaravU_xu_INCL
kEgoVlYlYuvuxakkoskaravo kEgoVlYlYu(V32)+vuxu_#_BEN+xakkoskaravo_xu_DUB
kEgoVlYlYuvuxakkoskaravo kEgoVlYlYu(V32)+vuxu_#_BEN+xakkoskaravo_xu_INDF
kEgoVlYlYuvuxakkoskaravo kEgoVlYlYu(V32)+vuxu_#_BEN+xakkoskaravo_xu_PRES
kEgoVlYlYuvuxakkoskarave kEgoVlYlYu(V32)+vuxu_#_BEN+xakkoskarave_xu_IMPH
kEgoVlYlYuvuxakkoskarave kEgoVlYlYu(V32)+vuxu_#_BEN+xakkoskarave_xu_DECL
kEgoVlYlYuvuxakkoskarave kEgoVlYlYu(V32)+vuxu_#_BEN+xakkoskarave_xu_RIS
kEgoVlYlYuvuxakkoskaravA kEgoVlYlYu(V32)+vuxu_#_PUR+xakkoskaravA_xu_INTR
kEgoVlYlYuvuxakkoskaravU kEgoVlYlYu(V32)+vuxu_#_PUR+xakkoskaravU_xu_INCL
kEgoVlYlYuvuxakkoskaravo kEgoVlYlYu(V32)+vuxu_#_PUR+xakkoskaravo_xu_DUB
kEgoVlYlYuvuxakkoskaravo kEgoVlYlYu(V32)+vuxu_#_PUR+xakkoskaravo_xu_INDF
kEgoVlYlYuvuxakkoskaravo kEgoVlYlYu(V32)+vuxu_#_PUR+xakkoskaravo_xu_PRES
kEgoVlYlYuvuxakkoskarave kEgoVlYlYu(V32)+vuxu_#_PUR+xakkoskarave_xu_IMPH
kEgoVlYlYuvuxakkoskarave kEgoVlYlYu(V32)+vuxu_#_PUR+xakkoskarave_xu_DECL
kEgoVlYlYuvuxakkoskarave kEgoVlYlYu(V32)+vuxu_#_PUR+xakkoskarave_xu_RIS
kEgoVlYlYuvuxakkAgiyA kEgoVlYlYu(V32)+vuxu_#_BEN+xakkAgiyA_xu_INTR
kEgoVlYlYuvuxakkAgiyU kEgoVlYlYu(V32)+vuxu_#_BEN+xakkAgiyU_xu_INCL
kEgoVlYlYuvuxakkAgiyo kEgoVlYlYu(V32)+vuxu_#_BEN+xakkAgiyo_xu_DUB
kEgoVlYlYuvuxakkAgiyo kEgoVlYlYu(V32)+vuxu_#_BEN+xakkAgiyo_xu_INDF
kEgoVlYlYuvuxakkAgiyo kEgoVlYlYu(V32)+vuxu_#_BEN+xakkAgiyo_xu_PRES
kEgoVlYlYuvuxakkAgiye kEgoVlYlYu(V32)+vuxu_#_BEN+xakkAgiye_xu_IMPH
kEgoVlYlYuvuxakkAgiye kEgoVlYlYu(V32)+vuxu_#_BEN+xakkAgiye_xu_DECL
kEgoVlYlYuvuxakkAgiye kEgoVlYlYu(V32)+vuxu_#_BEN+xakkAgiye_xu_RIS
kEgoVlYlYuvuxakkAgiyA kEgoVlYlYu(V32)+vuxu_#_PUR+xakkAgiyA_xu_INTR
kEgoVlYlYuvuxakkAgiyU kEgoVlYlYu(V32)+vuxu_#_PUR+xakkAgiyU_xu_INCL
kEgoVlYlYuvuxakkAgiyo kEgoVlYlYu(V32)+vuxu_#_PUR+xakkAgiyo_xu_DUB
kEgoVlYlYuvuxakkAgiyo kEgoVlYlYu(V32)+vuxu_#_PUR+xakkAgiyo_xu_INDF
kEgoVlYlYuvuxakkAgiyo kEgoVlYlYu(V32)+vuxu_#_PUR+xakkAgiyo_xu_PRES
kEgoVlYlYuvuxakkAgiye kEgoVlYlYu(V32)+vuxu_#_PUR+xakkAgiye_xu_IMPH
kEgoVlYlYuvuxakkAgiye kEgoVlYlYu(V32)+vuxu_#_PUR+xakkAgiye_xu_DECL
kEgoVlYlYuvuxakkAgiye kEgoVlYlYu(V32)+vuxu_#_PUR+xakkAgiye_xu_RIS
kEgoVlYlYuvuxakkosugavA kEgoVlYlYu(V32)+vuxu_#_BEN+xakkosugavA_xu_INTR
kEgoVlYlYuvuxakkosugavU kEgoVlYlYu(V32)+vuxu_#_BEN+xakkosugavU_xu_INCL
kEgoVlYlYuvuxakkosugavo kEgoVlYlYu(V32)+vuxu_#_BEN+xakkosugavo_xu_DUB
kEgoVlYlYuvuxakkosugavo kEgoVlYlYu(V32)+vuxu_#_BEN+xakkosugavo_xu_INDF
kEgoVlYlYuvuxakkosugavo kEgoVlYlYu(V32)+vuxu_#_BEN+xakkosugavo_xu_PRES
kEgoVlYlYuvuxakkosugave kEgoVlYlYu(V32)+vuxu_#_BEN+xakkosugave_xu_IMPH
kEgoVlYlYuvuxakkosugave kEgoVlYlYu(V32)+vuxu_#_BEN+xakkosugave_xu_DECL
kEgoVlYlYuvuxakkosugave kEgoVlYlYu(V32)+vuxu_#_BEN+xakkosugave_xu_RIS
kEgoVlYlYuvuxakkosugavA kEgoVlYlYu(V32)+vuxu_#_PUR+xakkosugavA_xu_INTR
kEgoVlYlYuvuxakkosugavU kEgoVlYlYu(V32)+vuxu_#_PUR+xakkosugavU_xu_INCL
kEgoVlYlYuvuxakkosugavo kEgoVlYlYu(V32)+vuxu_#_PUR+xakkosugavo_xu_DUB
kEgoVlYlYuvuxakkosugavo kEgoVlYlYu(V32)+vuxu_#_PUR+xakkosugavo_xu_PRES
kEgoVlYlYuvuxakkosugave kEgoVlYlYu(V32)+vuxu_#_PUR+xakkosugave_xu_IMPH
kEgoVlYlYuvuxakkosugave kEgoVlYlYu(V32)+vuxu_#_PUR+xakkosugave_xu_DECL
kEgoVlYlYuvuxakkosugave kEgoVlYlYu(V32)+vuxu_#_PUR+xakkosugave_xu_RIS
kEgoVlYlYuvuxakkiMwalA kEgoVlYlYu(V32)+vuxu_#_COMP+xakkiMwalA_xu_INTR
kEgoVlYlYuvuxakkiMwalU kEgoVlYlYu(V32)+vuxu_#_COMP+xakkiMwalU_xu_INCL
kEgoVlYlYuvuxakkiMwalo kEgoVlYlYu(V32)+vuxu_#_COMP+xakkiMwalo_xu_DUB
kEgoVlYlYuvuxakkiMwalo kEgoVlYlYu(V32)+vuxu_#_COMP+xakkiMwalo_xu_INDF
kEgoVlYlYuvuxakkiMwalo kEgoVlYlYu(V32)+vuxu_#_COMP+xakkiMwalo_xu_PRES
kEgoVlYlYuvuxakkiMwale kEgoVlYlYu(V32)+vuxu_#_COMP+xakkiMwale_xu_IMPH
kEgoVlYlYuvuxakkiMwale kEgoVlYlYu(V32)+vuxu_#_COMP+xakkiMwale_xu_DECL
kEgoVlYlYuvuxakkiMwale kEgoVlYlYu(V32)+vuxu_#_COMP+xakkiMwale_xu_RIS
kEgoVlYlYuvaMweVyA kEgoVlYlYu(V32)+va_#_SIM+vaMweVyA_va_INTR
kEgoVlYlYuvaMweVyU kEgoVlYlYu(V32)+va_#_SIM+vaMweVyU_va_INCL
kEgoVlYlYuvaMweVyo kEgoVlYlYu(V32)+va_#_SIM+vaMweVyo_va_DUB
kEgoVlYlYuvaMweVyo kEgoVlYlYu(V32)+va_#_SIM+vaMweVyo_va_INDF
kEgoVlYlYuvaMweVyo kEgoVlYlYu(V32)+va_#_SIM+vaMweVyo_va_PRES
kEgoVlYlYuvaMweVye kEgoVlYlYu(V32)+va_#_SIM+vaMweVye_va_IMPH
kEgoVlYlYuvaMweVye kEgoVlYlYu(V32)+va_#_SIM+vaMweVye_va_DECL
kEgoVlYlYuvaMweVye kEgoVlYlYu(V32)+va_#_SIM+vaMweVye_va_RIS
kEgoVlYlYuvuxaroVMxigeVyA kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVMxigeVyA_xu_INTR
kEgoVlYlYuvuxaroVMxigeVyU kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVMxigeVyU_xu_INCL
kEgoVlYlYuvuxaroVMxigeVyo kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVMxigeVyo_xu_DUB
kEgoVlYlYuvuxaroVMxigeVyo kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVMxigeVyo_xu_INDF
kEgoVlYlYuvuxaroVMxigeVyo kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVMxigeVyo_xu_PRES
kEgoVlYlYuvuxaroVMxigeVye kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVMxigeVye_xu_IMPH
kEgoVlYlYuvuxaroVMxigeVye kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVMxigeVye_xu_DECL
kEgoVlYlYuvuxaroVMxigeVye kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVMxigeVye_xu_RIS
kEgoVlYlYuvuxaroVdaneVyA kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVdaneVyA_xu_INTR
kEgoVlYlYuvuxaroVdaneVyU kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVdaneVyU_xu_INCL
kEgoVlYlYuvuxaroVdaneVyo kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVdaneVyo_xu_DUB
kEgoVlYlYuvuxaroVdaneVyo kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVdaneVyo_xu_INDF
kEgoVlYlYuvuxaroVdaneVyo kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVdaneVyo_xu_PRES
kEgoVlYlYuvuxaroVdaneVye kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVdaneVye_xu_IMPH
kEgoVlYlYuvuxaroVdaneVye kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVdaneVye_xu_DECL
kEgoVlYlYuvuxaroVdaneVye kEgoVlYlYu(V32)+vuxu_#_SOC+xaroVdaneVye_xu_RIS


kEgoVMdavanannu kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ACC+nannu_nu_3SM
kEgoVMdavanannA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ACC+nannA_nu_INTR
kEgoVMdavanannU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ACC+nannU_nu_INCL
kEgoVMdavananno kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ACC+nanno_nu_DUB
kEgoVMdavananno kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ACC+nanno_nu_INDF
kEgoVMdavananno kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ACC+nanno_nu_PRES
kEgoVMdavananne kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ACC+nanne_nu_IMPH
kEgoVMdavananne kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ACC+nanne_nu_DECL
kEgoVMdavananne kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_ACC+nanne_nu_RIS
kEgoVMdavaniMxa kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_INS+niMxa_nu_3SM
kEgoVMdavaniMxalA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_INS+niMxalA_nu_INTR
kEgoVMdavaniMxalU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_INS+niMxalU_nu_INCL
kEgoVMdavaniMxalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_INS+niMxalo_nu_DUB
kEgoVMdavaniMxalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_INS+niMxalo_nu_INDF
kEgoVMdavaniMxalo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_INS+niMxalo_nu_PRES
kEgoVMdavaniMxale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_INS+niMxale_nu_IMPH
kEgoVMdavaniMxale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_INS+niMxale_nu_DECL
kEgoVMdavaniMxale kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_INS+niMxale_nu_RIS
kEgoVMdavanalligeV kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_DAT+nalligeV_nu_3SM
kEgoVMdavanalligeVyA kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_DAT+nalligeVyA_nu_INTR
kEgoVMdavanalligeVyU kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_DAT+nalligeVyU_nu_INCL
kEgoVMdavanalligeVyo kEgoVlYlYu(V4)+Mda_lYlYu_PRP+Mdavanu_Mda_DAT+nalligeVyo_nu_DUB
